contact_0_4,contact_5_9,contact_10_14,contact_15_19,contact_20_24,contact_25_29,contact_30_34,contact_35_39,contact_40_44,contact_45_49,contact_50_54,contact_55_59,contact_60_64,contact_65_69,contact_70_74,contact_75
3.02025,2.07115,1.20288,0.74328,0.88249,1.0183,0.93318,0.75555,0.49347,0.34225,0.32904,0.29564,0.22759,0.18929,0.15472,0.13718
2.37984,7.37223,2.25112,0.85215,0.51164,0.91051,0.99272,0.90433,0.74141,0.46308,0.38252,0.31511,0.26148,0.19954,0.15817,0.13745
1.08479,3.42044,10.02659,1.55627,0.67716,0.61206,0.68264,0.81578,0.76529,0.52365,0.37833,0.27019,0.20879,0.18814,0.1623,0.14113
0.70712,1.20125,3.25608,7.53825,1.5983,0.73302,0.47424,0.61148,0.57371,0.49081,0.34212,0.23158,0.19347,0.168,0.14711,0.13338
0.99687,0.82317,0.85739,3.26171,3.86863,1.68165,0.92077,0.69192,0.6,0.58846,0.44218,0.31922,0.23458,0.17419,0.17764,0.14525
1.73899,0.91713,0.58637,1.30028,2.39125,2.63401,1.53424,1.09798,0.8713,0.7145,0.65983,0.43086,0.3225,0.22237,0.17815,0.14406
1.68035,1.67808,1.27683,0.74312,1.31251,1.73608,1.82846,1.38843,1.03048,0.79331,0.61948,0.49134,0.34696,0.23347,0.16317,0.15095
1.66467,2.01758,1.50807,1.08341,0.97191,1.41317,1.51605,1.77397,1.44772,0.96475,0.75609,0.47825,0.34302,0.25167,0.20301,0.16385
1.25119,1.60907,1.71201,1.24795,1.16476,1.24447,1.45092,1.46872,1.57616,1.16556,0.88188,0.45024,0.37633,0.26072,0.20784,0.19944
0.73461,1.01772,1.14561,1.43486,1.11519,1.10608,1.17383,1.26758,1.22074,1.18516,0.87909,0.55604,0.33791,0.25307,0.21355,0.17732
0.87929,0.9015,1.13085,1.26361,1.32839,1.4304,1.16321,1.06032,1.27154,1.25031,1.01627,0.72308,0.39036,0.22658,0.21364,0.19142
1.25606,1.19293,0.95904,0.94162,1.02749,1.31513,1.24896,0.9497,0.94477,0.7872,0.83271,0.65555,0.44465,0.26208,0.18376,0.16776
1.22701,1.13679,0.82341,0.75857,0.79865,0.95972,0.92836,0.91473,0.75361,0.59812,0.54221,0.53245,0.37222,0.29211,0.21091,0.17315
0.89006,1.11457,0.82934,0.55039,0.64179,0.74252,0.82872,0.70716,0.64602,0.42459,0.42968,0.38665,0.34308,0.2752,0.22481,0.16327
0.4673,0.96284,0.83073,0.85245,0.44967,0.56504,0.48736,0.61042,0.59966,0.44502,0.35826,0.28307,0.35345,0.29832,0.25743,0.1744
0.6456,0.69588,0.85096,0.66128,0.38359,0.36946,0.47161,0.48449,0.44545,0.43914,0.41256,0.28836,0.22164,0.25843,0.2199,0.16478
