contact_0_4,contact_5_9,contact_10_14,contact_15_19,contact_20_24,contact_25_29,contact_30_34,contact_35_39,contact_40_44,contact_45_49,contact_50_54,contact_55_59,contact_60_64,contact_65_69,contact_70_74,contact_75
3.41716,2.23055,1.21125,0.72205,0.90213,1.08161,0.9902,0.77099,0.48251,0.33602,0.33346,0.3029,0.23154,0.19575,0.15603,0.13782
2.64594,7.67521,2.2299,0.82237,0.5174,0.95778,1.0499,0.92886,0.72808,0.45773,0.38336,0.31885,0.26223,0.20552,0.15929,0.13797
1.21919,3.609,9.81439,1.47412,0.68081,0.63468,0.71308,0.83224,0.74937,0.51752,0.37898,0.2717,0.20897,0.19219,0.16221,0.14169
0.80273,1.29202,3.17644,7.09058,1.63511,0.7758,0.49526,0.6235,0.56762,0.48851,0.35045,0.23726,0.19541,0.17288,0.14753,0.13372
1.16339,0.88669,0.84618,3.08256,4.04596,1.8229,0.9923,0.73632,0.61509,0.6079,0.47012,0.33726,0.2473,0.18088,0.18373,0.14738
2.04009,1.01113,0.59148,1.2516,2.45648,2.84493,1.62449,1.12333,0.87365,0.71765,0.67878,0.44426,0.3305,0.22874,0.18028,0.14483
1.94493,1.86083,1.30069,0.71716,1.34223,1.85069,1.95177,1.43516,1.03212,0.80225,0.63502,0.50845,0.35416,0.23989,0.16495,0.15225
1.91171,2.22817,1.55841,1.06773,0.99732,1.49822,1.60745,1.83731,1.45624,0.97996,0.77856,0.49149,0.35248,0.26044,0.20628,0.16543
1.4252,1.7499,1.7339,1.22213,1.18779,1.31172,1.52338,1.51051,1.59224,1.19408,0.90691,0.46164,0.37972,0.26721,0.21064,0.2025
0.8138,1.09701,1.16912,1.38823,1.12487,1.15382,1.22465,1.2983,1.23475,1.21215,0.90239,0.5701,0.34285,0.25649,0.21536,0.17916
1.0154,0.97349,1.15622,1.24832,1.3634,1.52144,1.22048,1.08849,1.27893,1.273,1.05382,0.75084,0.40051,0.23112,0.2154,0.19314
1.38845,1.23479,0.95063,0.91292,1.03502,1.3813,1.30886,0.95843,0.93215,0.78112,0.85124,0.68499,0.45776,0.26938,0.18383,0.16821
1.38345,1.18301,0.82084,0.72897,0.81541,1.01605,0.97025,0.93022,0.72488,0.59128,0.551,0.55376,0.38858,0.3021,0.212,0.17501
1.01631,1.20047,0.8362,0.54177,0.65633,0.79146,0.88151,0.72156,0.61846,0.40897,0.43069,0.40003,0.35241,0.2859,0.22763,0.16463
0.52023,1.01998,0.80778,0.80156,0.4589,0.60221,0.51408,0.62064,0.57277,0.42315,0.34821,0.28379,0.35783,0.30854,0.2628,0.17551
0.71536,0.72062,0.83429,0.62311,0.38609,0.38331,0.50089,0.48441,0.43364,0.41857,0.38327,0.27952,0.2228,0.26154,0.219,0.1673
