contact_0_4,contact_5_9,contact_10_14,contact_15_19,contact_20_24,contact_25_29,contact_30_34,contact_35_39,contact_40_44,contact_45_49,contact_50_54,contact_55_59,contact_60_64,contact_65_69,contact_70_74,contact_75
3.16896,1.88161,1.2634,0.91408,1.08128,1.12996,0.96814,0.73905,0.50684,0.32485,0.30905,0.26688,0.2175,0.17846,0.15245,0.13515
2.89194,11.96605,2.68649,1.08441,0.66153,1.0408,1.01979,0.86518,0.72754,0.39524,0.29878,0.26415,0.23321,0.1817,0.15394,0.13555
0.92346,4.19229,17.6247,2.10735,0.86159,0.70282,0.69893,0.77812,0.75352,0.45393,0.29919,0.21168,0.18461,0.17598,0.16061,0.13732
0.63411,1.10147,3.91031,10.47917,1.9851,0.81715,0.48228,0.5963,0.5951,0.46881,0.31511,0.20536,0.18059,0.15866,0.14536,0.13244
0.83032,0.77306,0.94407,4.06717,4.80427,1.83184,0.87093,0.58439,0.53241,0.49516,0.3381,0.24287,0.17552,0.14957,0.1467,0.13515
1.54985,0.93429,0.73632,1.87183,3.233,3.03845,1.51291,0.94616,0.71391,0.52242,0.43122,0.26948,0.20555,0.16144,0.14089,0.132
1.47923,1.67992,1.46303,1.04893,1.80681,2.00515,1.80338,1.21911,0.86177,0.53913,0.39398,0.29691,0.23053,0.1681,0.14654,0.13555
1.49113,1.94141,1.67721,1.68734,1.38063,1.63758,1.48309,1.55483,1.1959,0.64467,0.41319,0.27348,0.24444,0.19191,0.16332,0.13607
1.16465,1.49231,1.91311,1.76865,1.66465,1.4551,1.40555,1.26664,1.31869,0.76787,0.46105,0.23662,0.23147,0.19346,0.16193,0.14102
0.77749,0.93641,1.38109,2.12852,1.59177,1.30517,1.12492,1.07434,0.99807,0.80236,0.51245,0.27933,0.20887,0.1725,0.16252,0.14526
0.73332,0.78616,1.35199,1.78427,1.81287,1.67648,1.13712,0.9,1.02829,0.84074,0.55396,0.38644,0.23836,0.17079,0.16313,0.14718
1.11039,1.1206,1.26862,1.30542,1.39008,1.53264,1.27023,0.84695,0.80818,0.57965,0.55394,0.38999,0.30048,0.20575,0.15944,0.14326
1.08845,1.03133,0.98848,0.94935,1.03856,1.11319,0.97462,0.88509,0.71648,0.48311,0.40035,0.37091,0.29361,0.24054,0.18991,0.14423
0.79596,1.00962,0.88869,0.69952,0.83107,0.84283,0.88371,0.73182,0.69227,0.39092,0.35632,0.31706,0.28747,0.24281,0.20085,0.14756
0.43397,0.91072,0.9023,1.05845,0.53371,0.63426,0.51631,0.64911,0.67107,0.46923,0.34902,0.2603,0.32857,0.27246,0.24232,0.17222
0.56738,0.64286,0.90709,0.84813,0.4691,0.41327,0.49342,0.49972,0.51526,0.45565,0.41922,0.25944,0.21069,0.23843,0.22538,0.15732
