"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
rec_id,study_site,,text,"Record ID",,,integer,,,,,y,,,,,
individual_id,study_site,,text,"Perm ID (Individual ID)",,,,,,,,y,,,,,
interview_date,study_site,,text,"Interview Date",,,date_dmy,2020-07-01,2021-12-31,,,,,,,,
enumerator_id100,study_site,,text,"Interviewer ID",,,,,,,,,,,,,
study_site,study_site,,radio,"Study Site","1, Rural - Manhiça | 2, Urban - Polana Caniço",,,,,,,y,,,,,
aim,study_site,,radio,"Is the data being collected for Aim 1 or Aim 2?","0, Aim 1 | 1, Aim 2",,,,,,,y,,,,,
hh,study_site,,radio,"Are you the head of the household?","0, No | 1, Yes",,,,,,"[aim] = '1'",y,,,,,
hh_descriptive,household_enrollment,,descriptive,"The following instrument will collect data on household information. This section should be answered by the household head. ",,,,,,,,,,,,,
hh_id,household_enrollment,"Household ID",text,"HDSS ID (Household ID)",,"Enter the HDSS ID of the household",,,,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
hoh_id,household_enrollment,,text,"Perm_Id of Head of Household",,,,,,,,y,,,,,
date_hohconsent,household_enrollment,"Head of Household Consent",text,"Date Head of Household signed consent",,,date_dmy,2020-07-01,2021-12-31,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
hh_head_gender,household_enrollment,"Head of Household Characteristics",radio,"What is your sex?","0, Female | 1, Male | 2, Transsexual Female | 3, Transsexual Male | 4, Other","Note the gender of the Head of Household",,,,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
hh_head_gender_other,household_enrollment,,text,"If other, please specify",,,,,,,"[hh_head_gender] = '4'",,,,,,
hh_occupants,household_enrollment,"Household Characteristics",text,"How many people live in this household, including yourself?",,,integer,0,30,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
hh_slept,household_enrollment,,text,"How many people slept in this house in the previous night?",,,integer,0,30,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
