sensor_id,hwid,site,sensor_with_staff,lost,comment
C9590E30,0,Manhica,,,damaged
F17A9446,0,Manhica,,,damaged
030D199D,51190173,Manhica,,,
096B42CF,158024399,Manhica,,,
0D9F0693,228525715,Manhica,,,
ADD8D142,291666774,Manhica,,,
144BFE90,340524688,Manhica,,,
1CF914E0,486085856,Manhica,,,
24F443FB,619987963,Manhica,,,
256E23CB,627975115,Manhica,,,1
27178AA9,655854249,Manhica,,,
295C4781,693913473,Manhica,,,
2BCCD1C5,734843333,Manhica,,,
2D2EAFAA,758034346,Manhica,,,
351AF43F,890958911,Manhica,,,1
3777B3F2,930591730,Manhica,,,
3CCF6E22,1020227106,Manhica,,,
3E46FA85,1044839045,Manhica,,,
3EA3B441,1050915905,Manhica,,,
43BE9338,1136563000,Manhica,,,
5B2B31C0,1229557440,Manhica,,,
4A4AADA5,1246408101,Manhica,,,
53068F21,1392938785,Manhica,,,
5AC81CFA,1523064058,Manhica,,,1
5AE89A51,1525193297,Manhica,,,
604842FC,1615348476,Manhica,,,
63DD40BD,1675444413,Manhica,,,
67B99933,1740216627,Manhica,,,
6AA77C79,1789361273,Manhica,,,1
6B4F691B,1800366363,Manhica,,,
6D573963,1834432867,Manhica,,,
6F8093F8,1870697464,Manhica,,,
7074A528,1886692648,Manhica,,,
70A31CC7,1889737927,Manhica,,,
732DFD29,1932393769,Manhica,,,
74289254,1948815956,Manhica,,,
7D0FAB23,2098178851,Manhica,,,
802D79CE,2150463950,Manhica,,,
834238CE,2202155214,Manhica,,,
837D4926,2206026022,Manhica,,,
90E21EEC,2430738156,Manhica,,,
92C8407A,2462597242,Manhica,,,
946F180C,2490308620,Manhica,,,1
97BE8FF3,2545848307,Manhica,,,
9FDA08E8,2681866472,Manhica,,,
A337E89A,2738350234,Manhica,,,
ADD16571,2916181361,Manhica,,,1
B5349CD7,3040124119,Manhica,,,
B84335B0,3091412400,Manhica,,,
CBAAEB3D,3416796189,Manhica,,,
CDB01555,3450869077,Manhica,,,
D2510EC4,3528524556,Manhica,,,
D360933D,3546321725,Manhica,,,1
D26BEBBE,3560288062,Manhica,,,1
D5401F13,3577749267,Manhica,,,
DEF297AF,3740440495,Manhica,,,
E05D32E3,3764204259,Manhica,,,1
E1A6B1DE,3785798110,Manhica,,,
E40CEEDE,3826052830,Manhica,,,
E4A60DBA,3836087738,Manhica,,,
E743747F,3879957631,Manhica,,,
E7BCC7A6,3887908774,Manhica,,,
E96B3013,3916115987,Manhica,,,
F43FE559,4097828185,Manhica,,,
F7AA9B6A,4155153258,Manhica,,,
F7C6FA98,4157012632,Manhica,,,
FEF743B7,4277617591,Manhica,,,
FFEFD46D,4293907565,Manhica,,,
