"","sensor_id","hwid","study_site"
"1","B4085BC6",NA,"Rural"
"2","74AB3804",NA,"Rural"
"3","74289254",1948815956,"Rural"
"4","92C8407A",2462597242,"Rural"
"5","0D9F0693",228525715,"Rural"
"6","DAFFE02B",NA,"Rural"
"7","E1A6B1DE",3785798110,"Rural"
"8","CDBO1555",NA,"Rural"
"9","FEF743B7",4277617591,"Rural"
"10","D5401F13",3577749267,"Rural"
"11","F43FE559",4097828185,"Rural"
"12","3EA3B441",1050915905,"Rural"
"13","70A31CC7",1889737927,"Rural"
"14","9FDAO8E8",NA,"Rural"
"15","E8CD7648",NA,"Rural"
"16","2BCCD1C5",734843333,"Rural"
"17","3777B3F2",930591730,"Rural"
"18","5AE89A51",1525193297,"Rural"
"19","F17A9446",0,"Rural"
"20","0C0516EA",NA,"Rural"
"21","53068F21",1392938785,"Rural"
"22","FEBB80F9",NA,"Rural"
"23","E743747F",3879957631,"Rural"
"24","B84335BO",NA,"Rural"
"25","7D0FAB23",2098178851,"Rural"
"26","DEF297AF",3740440495,"Rural"
"27","E40CEEDE",3826052830,"Rural"
"28","FFEFD46D",4293907565,"Rural"
"29","24F443FB",619987963,"Rural"
"30","25085364",NA,"Rural"
"31","E96B3013",3916115987,"Rural"
"32","834238CE",2202155214,"Rural"
"33","43BE9338",1136563000,"Rural"
"34","6F809378",NA,"Rural"
"35","F7AA9B6A",4155153258,"Rural"
"36","ADD8D142",291666774,"Rural"
"37","ED88F3BC",NA,"Rural"
"38","B5349CD7",3040124119,"Rural"
"39","256E23CB",627975115,"Rural"
"40","3CCF6E22",1020227106,"Rural"
"41","030D199D",51190173,"Rural"
"42","D5401713",NA,"Rural"
"43","295C4781",693913473,"Rural"
"44","67B99933",1740216627,"Rural"
"45","ADD16571",2916181361,"Rural"
"46","2D2EAFAA",758034346,"Rural"
"47","7074A528",1886692648,"Rural"
"48","4A4AADA5",1246408101,"Rural"
"49","645D507B",NA,"Rural"
"50","63DD40BD",1675444413,"Rural"
"51","60573963",NA,"Rural"
"52","B84335B0",3091412400,"Rural"
"53","FA7EB708",NA,"Rural"
"54","946F180C",2490308620,"Rural"
"55","E4A60DBA",3836087738,"Rural"
"56","144BFE90",340524688,"Rural"
"57","802D79CE",2150463950,"Rural"
"58","2B163D28",NA,"Rural"
"59","837D4926",2206026022,"Rural"
"60","37623D02",NA,"Rural"
"61","D2510EC4",3528524556,"Rural"
"62","F7C6FA98",4157012632,"Rural"
"63","77AD067C",NA,"Rural"
"64","C9590E30",0,"Rural"
"65","90E21EEC",2430738156,"Rural"
"66","351AF43F",890958911,"Rural"
"67","3023EF9B",NA,"Rural"
"68","E7BCC7A6",3887908774,"Rural"
"69","97BE8FF3",2545848307,"Rural"
"70","B2F44820",NA,"Rural"
"71","096B42CF",158024399,"Rural"
"72","EB1D0ABF",NA,"Rural"
"73","OCO516EA",NA,"Rural"
"74","D360933D",3546321725,"Rural"
"75","6B4F691B",1800366363,"Rural"
"76","732DFD29",1932393769,"Rural"
"77","1CF914E0",486085856,"Rural"
"78","CDB01555",3450869077,"Rural"
"79","6O4842FC",NA,"Rural"
"80","71E15B45",NA,"Rural"
"81","9B94F05O",NA,"Rural"
"82","D26BEBBE",3560288062,"Rural"
"83","O3OD199D",NA,"Rural"
"84","7B94F050",NA,"Rural"
"85","7O74A528",NA,"Rural"
"86","D54O1F13",NA,"Rural"
"87","144BFE9O",NA,"Rural"
"88","D36O933D",NA,"Rural"
"89","256E25CB",NA,"Rural"
"90","6D573963",1834432867,"Rural"
"91","25O85364",NA,"Rural"
"92","62D78CD2",NA,"Rural"
"93","3E46FA85",1044839045,"Rural"
"94","9FDA08E8",2681866472,"Rural"
"95","645D5O7B",NA,"Rural"
"96","84085BC6",NA,"Rural"
"97","ADF8D142",NA,"Rural"
"98","604842FC",1615348476,"Rural"
"99","6AA77C79",1789361273,"Rural"
"100","63DD4OBD",NA,"Rural"
"101","37623DO2",NA,"Rural"
"102","OD9F0693",NA,"Rural"
