sensor_id,hwid,site,sensor_with_staff,lost,comment
4DC221D1,1304568273,Polana Canico,yes,no,
4180000,,Polana Canico,yes,no,Sensor lost
775F3576,2002728310,Polana Canico,,no,Sensor lost
6A9FB5EB,1788851688,Polana Canico,,no,Sensor lost
BB211C8C,3139509388,Polana Canico,,no,Sensor lost
C5410CE6,3309374694,Polana Canico,,no,Sensor lost
567140F0,1450262768,Polana Canico,,no,
89011A52,2298550866,Polana Canico,yes,no,
2F66CF32,795266866,Polana Canico,,no,
01964B1A,26626842,Polana Canico,,no,
837E8FE7,2206109671,Polana Canico,yes,no,1
0F0AC00E,252362766,Polana Canico,,no,
16B7EA20,,Polana Canico,,no,Sensor lost
5AF503BA,1526006714,Polana Canico,,no,
93EF89E6,3474272015,Polana Canico,,no,
6BDA8DED,1809485293,Polana Canico,,no,
FC5ABD81,,Polana Canico,,no,Sensor lost
272EBC2B,657374251,Polana Canico,,no,
E8286A9D,,Polana Canico,,no,Sensor lost
7DF19AC4,2112985796,Polana Canico,,no,
63137977,1662220663,Polana Canico,,no,
7201E52B,1912726827,Polana Canico,,no,
0746B936,122075446,Polana Canico,,no,
A264CC63,2724514915,Polana Canico,,no,
DFB00C63,,Polana Canico,,no,Sensor lost
D6CFBE70,3603938928,Polana Canico,,no,1
6375E09A,1668669594,Polana Canico,,no,
45B9CEA9,1169804969,Polana Canico,,no,
E8164887,,Polana Canico,,no,Sensor lost
6125141B,,Polana Canico,,no,Sensor lost
6CECD070,1827459184,Polana Canico,,no,
7ADEB947,2061416775,Polana Canico,,no,
63137977,1662220663,Polana Canico,,no,
EC52843D,,Polana Canico,,no,Sensor lost
6F673A12,1869036050,Polana Canico,,no,
1B6E7DC6,460225990,Polana Canico,,no,
7AEECBB1,2062470065,Polana Canico,,no,
950CC02A,2500640810,Polana Canico,,no,
335C4283,861684355,Polana Canico,,no,
3F3453F3,1060393971,Polana Canico,,no,
0249F49D,38401181,Polana Canico,,no,
04A2DFD0,,Polana Canico,,no,Sensor lost
B6514945,3058780485,Polana Canico,,no,
30DEADD1,819899857,Polana Canico,,no,
B0834C7E,,Polana Canico,,no,Sensor lost
E691CC38,,Polana Canico,,no,Sensor lost
FDF97280,4260983424,Polana Canico,,no,
126DCF62,309186402,Polana Canico,,no,
E290C8BD,3801139389,Polana Canico,,no,1
05A700AC,94830764,Polana Canico,,no,
077075CE,,Polana Canico,,no,Sensor lost
D4D84F97,3570945943,Polana Canico,,no,
A44C5E76,2756468342,Polana Canico,,no,
7705947E,1996854398,Polana Canico,,no,
6B592F7D,,Polana Canico,,no,Sensor lost
E2C58AE4,3804596964,Polana Canico,,no,
BFAAAFE9,,Polana Canico,,no,Sensor lost
90CBF595,2429285781,Polana Canico,,no,
F029ABE0,4029262816,Polana Canico,,no,
993564AB,2570413227,Polana Canico,,no,
B287D42A,2995246122,Polana Canico,,no,
5BAC9680,1487705728,Polana Canico,,no,
7FDE60EB,2145280235,Polana Canico,,no,
F58E44EB,4119741675,Polana Canico,,no,
1C4E9633,474912307,Polana Canico,,no,
6375E09A,1668669594,Polana Canico,,no,
F75B23E1,4149945313,Polana Canico,,no,
ODD5BD3F,232111423,Polana Canico,,no,
565F06C9,1449068233,Polana Canico,,no,
B648ADEB,3058216427,Polana Canico,,no,
C179A589,3245974921,Polana Canico,,no,
79DFDC16,,Polana Canico,,no,Sensor lost
BD848166,,Polana Canico,,no,Sensor lost
D0130626,3490907686,Polana Canico,,no,
20C150C2,,Polana Canico,,no,Sensor lost
98ED9A65,2565708389,Polana Canico,,no,
3C114B9E,1007766430,Polana Canico,,no,
D5207DD4,3575676372,Polana Canico,,no,
68CF2EA5,1758408357,Polana Canico,,no,
59FA6AFD,1509583613,Polana Canico,,no,
6579D37C,1702482812,Polana Canico,,no,
ADC6D682,2915489410,Polana Canico,,no,
73A0D657,1939920471,Polana Canico,,no, 
CF152F0F,3474272015,Polana Canico,,no,
72A9B167,,Polana Canico,,no,Sensor lost
48DDBBF4,1222491124,Polana Canico,,no,1
B91A6455,,Polana Canico,,no,Sensor lost
57B92915,1471752469,Polana Canico,,no,1
01964B1A,,Polana Canico,,no,Sensor lost
71C626ED,,Polana Canico,,no,Sensor lost
6D72292C,,Polana Canico,,no,Sensor lost
595D34C5,1499280581,Polana Canico,,no,1
612514B1,1629820081,Polana Canico,,no,
D2495E9F,3528023711,Polana Canico,,no,1
8D46A482,2370217090,Polana Canico,,yes,Sensor lost
99FF6D3B,,Polana Canico,,yes,Sensor lost
5DA335CD,1570977229,Polana Canico,,yes,Sensor lost
A498A0A5,,Polana Canico,,yes,Sensor lost
1BF0AB62,,Polana Canico,,yes,Sensor lost
B093D42E,2962478126,Polana Canico,,yes,Sensor lost
F554A006,,Polana Canico,,yes,Sensor lost
9BC8EB99,2613635993,Polana Canico,,yes,Sensor lost
FC1DE353,,Polana Canico,,yes,Sensor lost
E7317FFF,3878780927,Polana Canico,,yes,Sensor lost
