"","sensor_id","hwid","study_site"
"1","F029ABE0",4029262816,"Urban"
"2","0F0AC00E",252362766,"Urban"
"3","D0130626",3490907686,"Urban"
"4","B093D42E",2962478126,"Urban"
"5","6375E09A",1668669594,"Urban"
"6","2F66CF32",795266866,"Urban"
"7","D5207DD4",3575676372,"Urban"
"8","57B92915",1471752469,"Urban"
"9","E2C58AE4",3804596964,"Urban"
"10","565F06C9",1449068233,"Urban"
"11","6CECD070",1827459184,"Urban"
"12","775F3576",2002728310,"Urban"
"13","01964B1A",26626842,"Urban"
"14","950CC02A",2500640810,"Urban"
"15","1C4E9633",474912307,"Urban"
"16","0249F49D",38401181,"Urban"
"17","05A700AC",94830764,"Urban"
"18","B287D42A",2995246122,"Urban"
"19","ADC6D682",2915489410,"Urban"
"20","6579D37C",1702482812,"Urban"
"21","B648ADEB",3058216427,"Urban"
"22","CF152F0F",3474272015,"Urban"
"23","E290C8BD",3801139389,"Urban"
"24","73A0D657",1939920471,"Urban"
"25","1B6E7DC6",460225990,"Urban"
"26","63137977",1662220663,"Urban"
"27","335C4283",861684355,"Urban"
"28","7AEECBB1",2062470065,"Urban"
"29","0746B936",122075446,"Urban"
"30","5DA335CD",1570977229,"Urban"
"31","A44C5E76",2756468342,"Urban"
"32","30DEADD1",819899857,"Urban"
"33","7FDE60EB",2145280235,"Urban"
"34","7ADEB947",2061416775,"Urban"
"35","90CBF595",2429285781,"Urban"
"36","48DDBBF4",1222491124,"Urban"
"37","7705947E",1996854398,"Urban"
"38","7201E52B",1912726827,"Urban"
"39","BB211C8C",3139509388,"Urban"
"40","B6514945",3058780485,"Urban"
"41","F75B23E1",4149945313,"Urban"
"42","6F673A12",1869036050,"Urban"
"43","993564AB",2570413227,"Urban"
"44","FDF97280",4260983424,"Urban"
"45","5BAC9680",1487705728,"Urban"
"46","3C114B9E",1007766430,"Urban"
"47","D6CFBE70",3603938928,"Urban"
"48","D2495E9F",3528023711,"Urban"
"49","3F3453F3",1060393971,"Urban"
"50","16B7EA20",NA,"Urban"
"51","45B9CEA9",1169804969,"Urban"
"52","567140F0",1450262768,"Urban"
"53","612514B1",1629820081,"Urban"
"54","7DF19AC4",2112985796,"Urban"
"55","C179A589",3245974921,"Urban"
"56","6A9FB5EB",1788851688,"Urban"
"57","59FA6AFD",1509583613,"Urban"
"58","A264CC63",2724514915,"Urban"
"59","D4D84F97",3570945943,"Urban"
"60","272EBC2B",657374251,"Urban"
"61","6BDA8DED",1809485293,"Urban"
"62","E7317FFF",3878780927,"Urban"
"63","9BC8EB99",2613635993,"Urban"
"64","93EF89E6",3474272015,"Urban"
"65","8D46A482",2370217090,"Urban"
"66","C5410CE6",3309374694,"Urban"
"67","595D34C5",1499280581,"Urban"
"68","98ED9A65",2565708389,"Urban"
"69","F58E44EB",4119741675,"Urban"
"70","126DCF62",309186402,"Urban"
"71","68CF2EA5",1758408357,"Urban"
