;rec_id;sensor_id;study_site;Sensor ID
1;249;0;Polana Caniço;Did not wear
2;595;2;Polana Caniço;D0130626
3;1026;0;Polana Caniço;Did not wear
4;1111;NA;Polana Caniço;NA
5;1512;0;Polana Caniço;B648ADEB
6;1515;NA;Polana Caniço;NA
7;1516;NA;Polana Caniço;NA
8;1518;0;Polana Caniço;CF152F0F
9;1603;0;Polana Caniço;1B6E7DC6
10;1721;0;Polana Caniço;Did not wear
11;5814;0;Polana Caniço;Did not wear
12;596;2;Polana Caniço;6579D37C
13;597;2;Polana Caniço;BB211C8C
14;598;2;Polana Caniço;EC52843D
15;737;2;Polana Caniço;0DD5BD3F
16;738;2;Polana Caniço;45B9CEA9
17;739;2;Polana Caniço;7705947E
18;1109;NA;Polana Caniço;NA
19;1110;NA;Polana Caniço;NA
20;1121;NA;Polana Caniço;NA
21;1140;0;Polana Caniço;Did not wear
22;1188;NA;Polana Caniço;NA
23;1191;NA;Polana Caniço;NA
24;1314;NA;Polana Caniço;NA
25;1315;NA;Polana Caniço;NA
26;1380;0;Polana Caniço;Did not wear
27;1450;0;Polana Caniço;Did not wear
28;1493;NA;Polana Caniço;NA
29;1494;NA;Polana Caniço;NA
30;1495;NA;Polana Caniço;NA
31;1509;NA;Polana Caniço;NA
32;1510;NA;Polana Caniço;NA
33;1511;NA;Polana Caniço;NA
34;1513;0;Polana Caniço;993564AB
35;1514;NA;Polana Caniço;NA
36;1517;NA;Polana Caniço;NA
37;1521;0;Polana Caniço;8D46A482
38;1522;NA;Polana Caniço;NA
39;1525;0;Polana Caniço;272EBC2B
40;1566;NA;Polana Caniço;NA
41;1601;0;Polana Caniço;B648ABEB
42;1602;0;Polana Caniço;Did not wear
43;1612;NA;Polana Caniço;NA
44;1631;NA;Polana Caniço;NA
45;1655;0;Polana Caniço;Did not wear
46;1719;0;Polana Caniço;Did not wear
47;1720;0;Polana Caniço;Did not wear
48;1722;0;Polana Caniço;Did not wear
49;1724;0;Polana Caniço;Did not wear
50;1725;0;Polana Caniço;5DA335CD
51;1741;NA;Polana Caniço;NA
52;1744;A;Polana Caniço;Did not wear
53;1859;NA;Polana Caniço;NA
54;1897;NA;Polana Caniço;NA
55;2228;0;Polana Caniço;126DCF62
56;2253;0;Polana Caniço;126DCF62
