"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",4.0930865448069,0.23701618885035,17.2692277462584,3.35875858069579e-60
"age 1",-0.381671638543229,0.511821522524069,-0.745712366023608,0.455978856509387
"age 2",0.699421272335699,0.639919634819428,1.09298298454784,0.274608059158113
"age 3",-0.580932180067494,0.47834055431883,-1.21447402864421,0.224791995193727
"age 4",-0.335344138917647,0.55611430852029,-0.603012966542672,0.546607475743195
"age 5",3.04475439597277,0.83846509042815,3.6313430704885,0.000293148097406224
"age 6",1.98849096346933,0.601298696911577,3.30699363508141,0.000969343978306933
"age 7",2.5694688794882,0.601222531962313,4.27374015924152,2.0654719652434e-05
"age 8",1.63863975560548,0.702104894904114,2.3338959285126,0.0197561329627956
"age 9",1.60994865669148,0.674352085102727,2.38740072472116,0.0171131921390056
"age10",2.05207059482661,0.650524933093297,3.15448415646246,0.00164544835255955
"age11",3.23067912955487,0.701627600585276,4.60454965976244,4.54749172974631e-06
"age12",3.15819971175658,0.687845090646888,4.59144036164658,4.83775485508187e-06
"age13",4.34673198107379,0.701681372423578,6.19473760014515,7.8666572364303e-10
"age14",3.70494939776492,0.593241363264925,6.24526478965425,5.75525708284418e-10
"age15",5.40131563819237,0.609844608444285,8.85687200215008,2.7069307847675e-18
"age16",3.46888598979055,0.639572007129806,5.42376143908768,6.97721274373902e-08
"age17",3.9067530128448,0.70183490788272,5.5664843241135,3.16660686770453e-08
"age18",4.92212736610701,0.639779342720278,7.69347654330103,2.85469419500072e-14
"age19",4.16061678397948,0.7515379747618,5.53613646109924,3.75158750655077e-08
"age20",3.59387337600545,0.770419273649877,4.66482796955403,3.41455424665485e-06
"age21",2.17808772930617,0.838465090428156,2.59770830553476,0.0094930968365277
"age22",2.56566337704086,0.813773071492077,3.1527995542254,0.00165489824042074
"age23",2.70256060707044,1.01862314183991,2.65315060699375,0.00807365933575311
"age24",1.35131729572606,1.13318081854402,1.19249926720637,0.233287769955097
