"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",9.1637931034483,0.851095505633075,10.7670561562089,9.8641363346246e-26
"age 1",-0.320043103448381,1.83035009319339,-0.174853490946098,0.861228022019857
"age 2",0.121921182265566,2.59349822719042,0.0470103202644734,0.96251382408527
"age 3",1.66954022988507,1.87756118158177,0.889206831853301,0.374092920657322
"age 4",3.38166144200637,2.13160386947382,1.58643990585415,0.1129366766536
"age 5",1.58620689655107,4.6616420702648,0.340267843957606,0.733721995399235
"age 6",7.5862068965516,2.44458572514804,3.10326891730998,0.00196445383519919
"age 7",10.0862068965518,3.35076635644547,3.01011942451618,0.00267301483609793
"age 8",9.73620689655145,3.0210893486176,3.22274708657875,0.0013082260193966
"age 9",4.83620689655152,2.77966628156951,1.73985162485793,0.0821742241288118
"age10",8.6933497536947,2.59349822719029,3.35197829038533,0.000830588772845051
"age11",5.25287356321824,2.7796662815694,1.88974971493789,0.0590630858999365
"age12",6.23620689655187,3.02108934861766,2.0642245815753,0.0392383948822868
"age13",8.66954022988504,2.77966628156943,3.11891405359283,0.00186398151736379
"age14",10.5028735632184,2.32217231872062,4.52286571437766,6.78594200594247e-06
"age15",12.169540229885,2.77966628156945,4.3780580102637,1.31551352976173e-05
"age16",6.26477832512326,2.59349822719029,2.41557069885115,0.0158782411955969
"age17",10.8362068965515,3.35076635644538,3.23394881762123,0.00125846591707118
"age18",8.2528735632183,2.77966628156945,2.96901596351292,0.00305450939906411
"age19",3.91954022988502,2.77966628156944,1.41007582668233,0.158809543381044
"age20",5.0362068965517,3.02108934861765,1.66701686557403,0.0958053436698683
"age21",1.33620689655155,3.35076635644542,0.398776504957222,0.690137905305442
"age22",7.63620689655157,3.02108934861764,2.52763358357662,0.0116272777761694
"age23",7.33620689655163,4.66164207026497,1.5737387783045,0.115845136857229
"age24",0.00287356321824199,3.83780219840451,0.000748752298760113,0.999402722511051
"age25",9.83620689655155,3.3507663564454,2.93550962681447,0.00340159278698231
"age26",12.3362068965514,6.53738862412346,1.88702364290076,0.0594291826532895
"age27",13.9238167680862,10.3477116954432,1.34559380642754,0.178720218158192
"age28",1.93620689655167,3.02108934861765,0.640896932570897,0.52172765896599
"age29",4.08620689655153,4.6616420702649,0.876559554543261,0.380923772228014
"age30",4.2112068965517,3.35076635644546,1.25678917852661,0.209105816136454
"age31",11.0862068965515,4.66164207026488,2.37817634418285,0.0175742896859832
"age32",3.83620689655169,3.35076635644542,1.1448744819741,0.252518618970815
"age33",0.836206896551337,6.53738862412343,0.127911455877913,0.898243215870744
"age34",1.0362068965516,3.02108934861764,0.34299114556997,0.731672873445027
"age35",-0.163793103448243,6.53738862412341,-0.0250548212544432,0.980015934294046
"age36",5.33620689655162,4.6616420702649,1.14470540983606,0.252588641350173
"age37",2.46120689655184,3.3507663564454,0.734520594614889,0.462793355482152
"age38",8.63620689655168,3.02108934861765,2.85864001357765,0.00433762588686004
"age39",6.33620689655168,3.02108934861764,2.09732522457534,0.0362003088986761
"age40",14.3362068965515,6.53738862412343,2.19295619716562,0.0285264204182318
"age41",-1.16379310344836,6.53738862412351,-0.178021098386881,0.858740292707705
"age42",12.0028735632181,3.83780219840464,3.12753835208276,0.00181063938177771
"age43",-2.49712643678168,3.83780219840461,-0.650665747656235,0.515402755987395
"age44",1.33620689655171,3.83780219840465,0.348169818941467,0.727781524320517
"age45",11.9612068965519,3.35076635644545,3.56969290727885,0.000373350234341698
"age46",6.46120689655168,3.35076635644542,1.92827735784177,0.0540864698881069
"age47",0.669540229884986,3.83780219840459,0.174459285620119,0.861537714263233
"age48",3.83620689655167,6.53738862412355,0.586810287275216,0.55745560845572
"age49",12.0862068965516,4.66164207026493,2.59269302841707,0.00965338126517901
"age50",4.42381676808661,9.27731610437304,0.476842302053431,0.633572336795779
"age51",5.33620689655158,4.66164207026494,1.14470540983604,0.252588641350181
"age52",14.0028735632186,3.83780219840464,3.6486699520469,0.00027638914984412
"age53",6.50287356321836,3.83780219840461,1.69442645218183,0.0904769127433194
"age54",7.33620689655166,4.66164207026501,1.57373877830449,0.11584513685723
"age55",5.83620689655143,6.53738862412356,0.892742841540015,0.372196763152324
"age56",6.83620689655163,3.83780219840457,1.78128171884251,0.0751516341286424
"age57",5.71120689655161,3.35076635644533,1.70444796473675,0.0885893750988399
"age58",9.84166666666681,6.53554164326342,1.50586855747621,0.132397722351945
"age59",6.83620689655203,3.8378021984047,1.78128171884255,0.0751516341286359
"age60",-0.330459770115195,3.83780219840455,-0.086106514361937,0.931397945380786
"age61",0.711206896551666,3.35076635644543,0.212252010703047,0.831951085269398
"age62",-8.74284989857999,10.0036471476572,-0.873966241465,0.382333850543624
"age63",-0.163793103448354,3.83780219840458,-0.0426788810315561,0.965965522189438
"age64",9.33620689655174,6.53738862412356,1.42812481150352,0.153549389473313
"age65",4.84166666666667,4.6590515493257,1.03919577094342,0.298949786146502
"age66",21.8362068965515,6.5373886241235,3.34020327565874,0.00086623418092321
"age67",8.08620689655167,4.66164207026497,1.73462629148017,0.0830966159534883
"age68",4.83620689655167,6.5373886241235,0.73977656440764,0.459598768696231
"age69",-5.66379310344838,6.53738862412352,-0.866369345482766,0.386482968634867
"age70",-2.16379310344828,6.5373886241235,-0.330987375519288,0.740719192296299
"age71",-0.663793103448329,6.5373886241236,-0.101537959820664,0.919142556395664
"age72",8.58620689655161,4.66164207026497,1.84188463359727,0.0657701901464307
"age73",-5.16379310344836,4.66164207026498,-1.10771977462329,0.268233202128795
"age75",-6.16379310344833,6.53738862412352,-0.942852484048968,0.3459703906527
"age76",-1.66379310344787,6.53738862412325,-0.254504236953024,0.799155209292334
"age77",-4.91379310344828,4.66164207026495,-1.05409060356472,0.292080740340037
"age78",1.83620689655171,6.53738862412351,0.280877733010387,0.778858786913515
"age79",-7.16379310344832,6.53738862412352,-1.09581876118139,0.273406066687341
"age80",4.24137931034483,6.5373886241235,0.648788003009917,0.516615415652906
"age81",0.336206896551628,4.66164207026498,0.0721219886649335,0.942518381711804
"age82",-2.66379310344836,3.83780219840459,-0.694093380986577,0.487775160507464
"age83",-5.67647058823528,6.52923624705993,-0.869392739585944,0.38482842648385
"age84",-1.17647058823526,4.6502024405789,-0.252993413355313,0.800322172716613
"age85",2.32352941176467,6.52923624705975,0.35586542190306,0.72201189508545
"age90",-1.66379310344833,6.53738862412349,-0.254504236953086,0.799155209292286
"age91",-0.663793103448378,6.53738862412355,-0.101537959820672,0.919142556395658
"age93",-0.163793103448311,6.53738862412351,-0.0250548212544533,0.980015934294038
"sexMale",0.512677484786913,1.15853487928472,0.442522270113647,0.658201259722177
"siteUrban",-2.50545977011503,1.19355840553671,-2.09915137666714,0.0360387102745717
"age 1:sexMale",2.35190584854654,2.73296752799155,0.860568530162871,0.389669595077328
"age 2:sexMale",3.47433550222644,3.34117405381641,1.03985468768319,0.298643649623809
"age 3:sexMale",-1.07101081812029,2.4987456494307,-0.428619382834865,0.668286994543366
"age 4:sexMale",-4.10813203024137,3.05988287512396,-1.34257819593011,0.179694953239648
"age 5:sexMale",18.0373225152138,5.54539120267424,3.25266908248338,0.00117919625179893
"age 6:sexMale",-1.80813203024149,3.22695063040242,-0.560322185659223,0.57537765231465
"age 7:sexMale",-5.09601081812031,4.06369233584687,-1.25403460620458,0.210104866120216
"age 8:sexMale",-3.9126774847868,4.0923100366818,-0.956104852690816,0.339236441320168
"age 9:sexMale",2.86232251521323,3.68727812235438,0.776269763286962,0.437762242137463
"age10:sexMale",-2.86982034192981,3.46586111657302,-0.828025199338464,0.407841912371296
"age11:sexMale",0.903989181879626,3.91746923675085,0.230758463499613,0.817546813687655
"age12:sexMale",2.71232251521292,4.4997879922191,0.602766734766835,0.546792325848427
"age13:sexMale",-7.59601081812021,4.34138869020984,-1.74967305628491,0.0804630226687389
"age14:sexMale",-1.97934415145355,3.79643794592574,-0.521368761888428,0.602218405936304
"age15:sexMale",-4.09601081812031,3.54198994775755,-1.1564151447447,0.24777096693093
"age16:sexMale",1.70875108664154,3.3978494974852,0.502891928528975,0.615144332034241
"age17:sexMale",-0.957121929231372,4.06369233584684,-0.235530116487501,0.813842631168018
"age18:sexMale",-0.429344151453446,4.34138869020985,-0.0988955797534664,0.921239806582747
"age19:sexMale",-1.26267748478683,4.7274460650625,-0.267095058813777,0.789447730997439
"age20:sexMale",3.00160822949877,3.96820990547017,0.756413672916108,0.449568656766971
"age21:sexMale",8.82065584854643,5.08427348169503,1.73489012349622,0.0830498430059837
"age22:sexMale",-2.06267748478688,4.49978799221909,-0.458394370657818,0.646762744584569
"age23:sexMale",-1.01267748478694,5.41764961724729,-0.186921923035229,0.851757484842017
"age24:sexMale",3.98732251521321,5.41764961724731,0.735987521695645,0.4619005094791
"age25:sexMale",-2.30266830870281,3.79850394752231,-0.606204005712511,0.544508596922726
"age26:sexMale",-3.76267748478665,8.02258267400129,-0.469010746000827,0.639158037197089
"age27:sexMale",-0.100287356321873,8.027715201855,-0.0124926400351995,0.990034916594087
"age28:sexMale",2.88732251521305,4.49978799221909,0.641657455908084,0.521233820356977
