"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.31114135129506,0.0475179591400198,27.592543430402,1.36729994705943e-167
"age 1",-0.0942330517476338,0.109245466193748,-0.862580892652429,0.388367939564744
"age 2",0.228527006232843,0.122587992544675,1.86418752350122,0.0622953748356
"age 3",-0.152988036326142,0.103205686555846,-1.48236053100968,0.138244390027607
"age 4",-0.0966124607565365,0.11964630980305,-0.807483832268376,0.419387785590592
"age 5",0.644769406864601,0.14549541313353,4.43154456197774,9.35604719549967e-06
"age 6",0.490234088457423,0.108119401974663,4.53419163909457,5.78245110295594e-06
"age 7",0.605480196101479,0.107334381608885,5.6410647457567,1.69001791691994e-08
"age 8",0.416154751017909,0.130193839026123,3.19642430187813,0.00139142331422127
"age 9",0.413106165377763,0.12381112301601,3.3365836228167,0.000848149092636589
"age10",0.503476439739389,0.11614368777616,4.33494449314992,1.45796906391633e-05
"age11",0.718715682837118,0.11916521501703,6.03125402605453,1.6269221286142e-09
"age12",0.701497529152575,0.119585941875938,5.86605346872905,4.46289932392616e-09
"age13",0.903441926848623,0.115237385248107,7.83983361739341,4.5114380370488e-15
"age14",0.776617963613697,0.101714067453563,7.63530535211617,2.25285834951783e-14
"age15",0.983236005791086,0.098588233809558,9.97315772681753,1.99774311483396e-23
"age16",0.728767461609272,0.10801603283132,6.74684528311948,1.51094238317908e-11
"age17",0.775744013878344,0.11694897643358,6.63318344063419,3.2852310350078e-11
"age18",0.975039001304341,0.104957920470754,9.28980868648245,1.54565897706344e-20
"age19",0.878271366949045,0.123742102257146,7.09759532874209,1.26946241320044e-12
"age20",0.725845081507059,0.128283084926765,5.65815112663867,1.5301237330169e-08
"age21",0.507869761709618,0.15115529437225,3.35992043030188,0.000779649237566168
"age22",0.600940430993441,0.141693367709293,4.24113309400882,2.22394205402425e-05
"age23",0.597552013091544,0.170976287898106,3.49494085079012,0.000474166824380851
"age24",0.378975954459648,0.203701136005334,1.86045086390547,0.0628217641228244
"age25",0.576242584221658,0.144812610404366,3.97922931305908,6.91390295918265e-05
"age26",0.712109418724566,0.175839100706427,4.049778552459,5.12661224883062e-05
"age27",1.04073489159959,0.251264642242849,4.14198703928153,3.44309804460753e-05
"age28",0.547467520286703,0.134117527099056,4.08199831989413,4.46501196902164e-05
"age29",0.672899972870989,0.180980339378262,3.71808327458477,0.00020074010271148
"age30",0.523270895539719,0.166509540033942,3.14258807893562,0.0016746132175856
"age31",0.645869913044116,0.149312140408345,4.32563561996879,1.52092658741515e-05
"age32",0.677145156012389,0.147139795314073,4.60205313298833,4.1834644182045e-06
"age33",0.515527164118703,0.15949946851008,3.23215599985602,0.00122859963762045
"age34",0.46183373582262,0.135682105294005,3.40379252534363,0.000664572109788777
"age35",0.664169203347946,0.20395876039057,3.25638968424842,0.00112838768845668
"age36",0.307733000571134,0.177337069279303,1.73529991119036,0.0826876974868059
"age37",0.32543256913726,0.197981147516564,1.64375534347296,0.100226749045349
"age38",0.711112866187498,0.137436255143389,5.17412865655854,2.28977012542386e-07
"age39",0.691550939418334,0.187946787606964,3.67950390758746,0.000233688108862231
"age40",0.731740787385689,0.139585246441195,5.24225020940132,1.58630060247534e-07
"age41",0.6565012764837,0.181648715094909,3.61412562781238,0.000301362920517392
"age42",0.567471320929574,0.153988551894588,3.68515265549112,0.000228565602985004
"age43",0.167420434714727,0.211349516071151,0.792149600467334,0.428273451703672
"age44",0.477419320046029,0.147231584583344,3.24264200101558,0.001184269162674
"age45",0.870720839774965,0.134994036637906,6.4500689175663,1.11799299830142e-10
"age46",0.553479032617451,0.159697598219079,3.46579434374566,0.000528667495282851
"age47",0.287558956217264,0.221654192682718,1.29733145462709,0.19451716608614
"age48",0.186600637548975,0.200507355623438,0.930642354584834,0.352038597623164
"age49",0.229726191469935,0.220264790380352,1.04295466866604,0.296969288220912
"age50",0.559798077117837,0.252311723854658,2.2186764394678,0.0265087450231942
"age51",0.594225390861283,0.200965423190586,2.95685387778248,0.003107953652343
"age52",0.848881505505088,0.212545182100476,3.99388730958765,6.49987650463732e-05
"age53",0.438983487422623,0.158429642484017,2.77084187365323,0.00559115716480141
"age54",0.684927226253335,0.151986484664238,4.50650087582753,6.59054135104193e-06
"age55",0.67946141403646,0.166598220601278,4.07844340464251,4.53382357576205e-05
"age56",0.441852211577317,0.171372608643566,2.57831292336989,0.00992840432153231
"age57",0.931198396325639,0.16309447311096,5.70956439273148,1.13265697819822e-08
"age58",0.355259589012872,0.451063107706878,0.787605066658955,0.430927750127504
"age59",0.338043664721119,0.245682294979898,1.37593824068103,0.168840754665464
"age60",0.128186598373803,0.199913507045098,0.641210292733677,0.521386063245152
"age61",0.29469572432472,0.170734280279759,1.72604894483897,0.0843386077172252
"age62",-0.550850899119277,0.39209968180117,-1.40487463950202,0.160058559047215
"age63",0.335125594228499,0.212984178256635,1.57347647591311,0.115608531157893
"age64",0.442985260144523,0.243182346212013,1.82161767515112,0.068513017128013
"age65",1.04960775798896,0.287032468634865,3.65675619549568,0.000255427111054399
"age66",0.879405923062834,0.185772916866547,4.73376818266017,2.20389429576065e-06
"age67",0.565273230225755,0.176310776089095,3.20611843906868,0.00134538600055345
"age68",0.861852455674559,0.264035644173699,3.2641519230168,0.00109792276296593
"age69",0.00372327144249327,0.235334524590838,0.0158211866659458,0.987377046036349
"age70",-0.237507045357161,0.515556997178024,-0.460680480833721,0.645027861046888
"age71",0.0599182893416336,0.315729960917608,0.189777014406529,0.849483868404537
"age72",0.463943831735783,0.311023852328641,1.49166640520406,0.135786620297025
