"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",2.21526018723558,0.0668379749065529,33.143735882674,6.97156636404493e-241
"age 1",-0.035549192392071,0.144596505227983,-0.245850979150714,0.805797592216007
"age 2",0.0132169336047414,0.203168704678497,0.065053983711007,0.94813101845732
"age 3",0.167367613432,0.143595859192247,1.1655462377082,0.243797955381474
"age 4",0.314098225123252,0.159211053384789,1.97284182502156,0.0485135862994752
"age 5",0.159645567338083,0.354920435871739,0.449806636087237,0.652849872449365
"age 6",0.603138071035493,0.175149635190808,3.44355881973968,0.000574111696371344
"age 7",0.742250873498207,0.234412274375771,3.1664334791119,0.00154320637471921
"age 8",0.723901734830014,0.212238438254571,3.41079467406241,0.000647738494027902
"age 9",0.423797142379672,0.203392726341522,2.08363961682712,0.0371929605572589
"age10",0.667143401011403,0.184100263921927,3.62380469641436,0.000290300847617257
"age11",0.453124757474197,0.202545137847084,2.23715445500495,0.0252762469172857
"age12",0.519107322184004,0.21783056965849,2.3830783851773,0.0171685381992449
"age13",0.665809177998272,0.197001608156886,3.37971443089967,0.000725611799254927
"age14",0.763664968002027,0.163650181667822,4.66644741985143,3.06452018760997e-06
"age15",0.845010607455974,0.193070814013605,4.37668744379163,1.20496570258671e-05
"age16",0.520960890833324,0.187489110178118,2.77861946402327,0.00545904355431303
"age17",0.780472086318408,0.233371166580213,3.34433811063866,0.000824791508653485
"age18",0.642167414941228,0.197568259632731,3.25035719874732,0.00115260137902471
"age19",0.356078968324729,0.205432939732315,1.73330999784509,0.0830405847057017
"age20",0.437981777371633,0.220335315219741,1.98779654062642,0.046834196497104
"age21",0.136115069927897,0.256459792561198,0.530746237328474,0.595594640351716
"age22",0.606118699173631,0.215332083061236,2.81480906401329,0.00488062220741301
"age23",0.588100193670951,0.331300344393783,1.77512702181781,0.0758769161506905
"age24",0.000313528768833392,0.301370204104153,0.00104034428275808,0.999169925508602
"age25",0.729178791930859,0.23477648120681,3.10584257921704,0.00189737696206978
"age26",0.852792747898032,0.448283491556614,1.9023514449234,0.0571252242781373
"age27",0.915075421280613,0.78942643905283,1.15916490253169,0.246388974701403
"age28",0.191684921082704,0.229087673410743,0.836731711614279,0.402743389820116
"age29",0.368737365196648,0.342334247408892,1.07712672041316,0.281423657195672
"age30",0.378127105546487,0.246279699074154,1.53535637313181,0.124696313850377
"age31",0.792894606316969,0.322720073619694,2.45691133316778,0.014013726972915
"age32",0.349689170225951,0.247371927715694,1.41361703187215,0.157474377728353
"age33",0.08732490575846,0.50442686377235,0.173117080056763,0.86255939970672
"age34",0.107127533054641,0.232531690803606,0.460700787425659,0.645013290002819
"age35",-0.0180356098993646,0.515322784287985,-0.0349986657863075,0.972080804771178
"age36",0.458888462190946,0.337549472689708,1.35947023864196,0.17399762705172
"age37",0.237897764237839,0.251927524766738,0.944310330751321,0.345011088314692
"age38",0.663938270062451,0.213773476247426,3.10580284194844,0.00189763194231569
"age39",0.525579836689617,0.217638162777534,2.41492498366132,0.0157384507241611
"age40",0.941740233914529,0.443846428829355,2.12177044298491,0.0338570198431293
"age41",-0.135818645555741,0.528626958161626,-0.256927202555219,0.797234970689374
"age42",0.837167429994955,0.264968668061349,3.15949593633132,0.00158042304393014
"age43",-0.318140202349706,0.323203285190826,-0.984334680143704,0.32495098317691
"age44",0.136115069927896,0.293609256162292,0.463592570980321,0.642939677917171
"age45",0.835196986007654,0.231940554706667,3.60090966870334,0.000317105745258918
"age46",0.533612008386884,0.240753196014112,2.21642751673214,0.0266622369054847
"age47",0.0705177874420811,0.297251860621408,0.23723245094131,0.812476462550482
"age48",0.349689170225954,0.481008874989107,0.726991098103694,0.467231408995213
"age49",0.841096708134842,0.320914785662978,2.62093473317915,0.00876890479179368
"age50",0.426766610093973,0.685410787132316,0.622643556398518,0.533518781741075
"age51",0.458888462190942,0.337549472689705,1.35947023864196,0.173997627051719
"age52",0.927454276667056,0.262390649160324,3.53463158704398,0.000408344059840348
"age53",0.536275125806369,0.275203487083329,1.94864945749757,0.0513373015097617
"age54",0.588100193670958,0.331300344393784,1.77512702181782,0.075876916150688
"age55",0.492790013866632,0.470226676786712,1.04798395793728,0.294645998001495
"age56",0.557328535004197,0.274396969537705,2.03110309834386,0.0422445372342579
"age57",0.484421764196106,0.242422820873127,1.99825149485259,0.0456894012807352
"age58",0.907491177922302,0.464314535585766,1.95447505596058,0.0506450619976318
"age59",0.557328535004199,0.274396969537702,2.03110309834388,0.0422445372342551
"age60",-0.0367277429115314,0.303638292405197,-0.120958863984518,0.903723617673097
"age61",0.0747461235516065,0.259381103951719,0.288171044123244,0.77321581249848
"age62",-1.60593623314949,0.975185892077452,-1.64680010877551,0.0995991390107988
"age63",-0.0180356098993627,0.30248537250796,-0.0596247340816062,0.952454518462847
"age64",0.702510544848696,0.456618566146039,1.538506309058,0.123924867116142
"age65",0.546477832384976,0.351383857365143,1.55521610037168,0.119894611061173
"age66",1.21872701724959,0.432093190656072,2.82051891491075,0.00479460467980988
"age67",0.632551956241786,0.329305929401196,1.92086415629384,0.0547488356443628
"age68",0.423797142379676,0.475263119044368,0.89171056073491,0.372548091520691
"age69",-0.962497218740216,0.663446114322401,-1.45075417273827,0.146848324725129
"age70",-0.269350038180269,0.545255539863972,-0.493988631912782,0.621314208031913
"age71",-0.0751940237393102,0.521625842648483,-0.144153179523321,0.885379512020474
"age72",0.66112532868584,0.328063868746491,2.0152335922025,0.0438801793249931
"age73",-0.828965826115692,0.452169092146299,-1.833309353766,0.0667565791470743
"age75",-1.11664789856747,0.698412338256233,-1.59883758834425,0.109856694634013
"age76",-0.200357166693323,0.536451110753387,-0.373486348852821,0.708786503553307
"age77",-0.768341204299255,0.443963902492014,-1.73063891002507,0.0835161872806672
"age78",0.182635085562782,0.49533377817821,0.368711147126885,0.712343039089431
"age79",-1.52211300667565,0.808978652929241,-1.88152431607956,0.0599006307199085
"age80",0.436102077570055,0.487975971648277,0.893695802473628,0.371484671851705
"age81",0.0360316113709129,0.363439770580696,0.0991405297041167,0.92102669253209
"age82",-0.343458010333991,0.325180588043311,-1.05620699070833,0.290873657632913
"age83",-0.883402865029321,0.635377429974545,-1.39035921541109,0.164419824658683
"age84",-0.129631062652939,0.370861746382697,-0.349540128949214,0.726683849758075
"age85",0.215209423638794,0.486865291281269,0.442030737234182,0.658466963655259
"age90",-0.200357166693318,0.536451110753385,-0.373486348852813,0.708786503553313
"age91",-0.0751940237393124,0.521625842648484,-0.144153179523325,0.885379512020471
"age93",-0.018035609899364,0.515322784287984,-0.0349986657863064,0.972080804771179
"sexMale",0.0544370389136284,0.0905132443627322,0.601426225486646,0.547556135554481
"siteUrban",-0.319390984251354,0.0973144194565977,-3.28205199224153,0.00103054601554516
"age 1:sexMale",0.226152805228661,0.210354894711671,1.07510122613806,0.282329410582348
"age 2:sexMale",0.302797189156016,0.255903571611224,1.18324721788578,0.236711184598605
"age 3:sexMale",-0.107351079198912,0.191599166599335,-0.560289906810508,0.575281710757889
"age 4:sexMale",-0.392141918985697,0.235041679268709,-1.66839311310989,0.0952377145094931
"age 5:sexMale",0.948244722535725,0.408063250100421,2.32376898018229,0.0201378791218284
"age 6:sexMale",-0.134932132932817,0.232205831069764,-0.581088477887011,0.561180823769219
"age 7:sexMale",-0.326370754397268,0.287948873978379,-1.13343299415637,0.257032464969521
"age 8:sexMale",-0.252758937054026,0.290722719604967,-0.869415838560792,0.384619723044531
"age 9:sexMale",0.161538022921971,0.266524992259849,0.606089588643452,0.544455264176498
"age10:sexMale",-0.196000603235415,0.24789321900593,-0.79066544870163,0.429139243417625
"age11:sexMale",0.0392954387490759,0.283324382121789,0.138694165517264,0.889691828782082
"age12:sexMale",0.135700215932405,0.319520100911583,0.424700090996641,0.671055317457743
"age13:sexMale",-0.560600649573811,0.321380719065016,-1.74435059827096,0.0810979736994126
"age14:sexMale",-0.131940600068488,0.267379046795932,-0.493459011278424,0.621688294885214
"age15:sexMale",-0.238322317683764,0.24826072818067,-0.959967850856892,0.337071395483232
"age16:sexMale",0.0800776663967704,0.244010524221815,0.328173002587285,0.742780859303617
"age17:sexMale",-0.0769098947656873,0.283784428121883,-0.271015204303794,0.786379338390887
"age18:sexMale",-0.0496637601609706,0.307472032088902,-0.161522854041602,0.871681612762536
"age19:sexMale",-0.113470570497826,0.350639559858953,-0.323610292413869,0.746233094735037
"age20:sexMale",0.166692413028883,0.285942462855709,0.582957883778872,0.559921652558765
"age21:sexMale",0.581551727806366,0.369183868923875,1.57523601857664,0.115201976148019
"age22:sexMale",-0.151236422269421,0.322461575440083,-0.469006026727432,0.639065328203363
"age23:sexMale",-0.0852086975803817,0.385873608467633,-0.22082022639164,0.825232413927254
"age24:sexMale",0.344949023118152,0.411014142102447,0.839263148838739,0.401321657693577
"age25:sexMale",-0.282188497439247,0.299053729026273,-0.943604677186473,0.345371701247982
"age26:sexMale",-0.218324894018737,0.554139201459723,-0.393989260177988,0.693588968428066
"age27:sexMale",-0.0277722262797047,0.6534037286894,-0.0425039298986101,0.966096978977213
"age28:sexMale",0.212766502194614,0.333080561480179,0.638783906359168,0.522963519241778
"age29:sexMale",-0.0607462081068905,0.442975816302886,-0.13713210940923,0.890926372573641
"age30:sexMale",-0.370557046685944,0.436635599758386,-0.848664302432034,0.396068115213712
"age31:sexMale",-0.367964651696113,0.389079582023002,-0.945731075845455,0.344285768050745
"age32:sexMale",0.249931952323166,0.341463595133885,0.731943187750862,0.464203244522381
"age33:sexMale",0.0707261040403808,0.581013430812994,0.121728862517715,0.90311375423121
"age34:sexMale",0.597854105152307,0.302164661030342,1.97857056848972,0.0478643760487665
"age35:sexMale",0.520927105989938,0.583188894376126,0.89323907058828,0.371729159099212
"age36:sexMale",-0.353679933766484,0.422392683984283,-0.83732495182053,0.402409937523844
"age37:sexMale",0.475558500960082,0.409266220142289,1.16197838364169,0.245244245574966
"age38:sexMale",-0.161046773971866,0.51176515870853,-0.314688820118738,0.752997933567697
"age39:sexMale",-0.655210899342561,0.564551066991968,-1.16058747853165,0.24580969995758
"age40:sexMale",-0.272275537998145,0.491225838778013,-0.554277720153047,0.579388795644418
"age41:sexMale",0.756493177302691,0.578407701194374,1.30788918567402,0.190910898049908
"age42:sexMale",-0.708969383345799,0.392721028901216,-1.80527481639933,0.0710316884291421
"age43:sexMale",0.938814734096659,0.459296251731037,2.04402872995016,0.0409507090016157
"age44:sexMale",0.295548916874306,0.365171707300414,0.809342320244894,0.418318269827863
"age45:sexMale",0.421466312459299,0.383688947962848,1.09845830769175,0.272004413573571
"age46:sexMale",-0.578685683011762,0.436727673686158,-1.32504926497426,0.185154811954319
"age47:sexMale",0.526966584576209,0.476891026892323,1.10500419353705,0.269157772035061
"age48:sexMale",-0.479320232878892,0.549546559939217,-0.872210414585995,0.383093598991258
"age49:sexMale",-0.565262662679619,0.470017969284031,-1.2026405363622,0.229115453978101
"age50:sexMale",-0.321558081669514,0.586993538032665,-0.547805147476122,0.583825703753643
"age51:sexMale",-0.125896002895769,0.584566676357993,-0.215366369633204,0.829481687924339
"age52:sexMale",-0.558400477341874,0.625813322819312,-0.892279625537948,0.372243072133699
"age53:sexMale",-0.106290400523885,0.365737338822218,-0.290619494487962,0.771342348865512
"age54:sexMale",0.221816337714517,0.459851421070785,0.48236523266147,0.629546514643822
"age55:sexMale",0.03326854150547,0.526877995508689,0.0631427802813249,0.949652808506733
"age56:sexMale",-0.521171135573521,0.376210344384643,-1.38531846173976,0.16595511101619
"age57:sexMale",0.163651741738963,0.516262875534547,0.316993046555042,0.751248878434457
"age58:sexMale",-0.653710657146204,0.685839050746583,-0.953154616137117,0.340511737153483
"age59:sexMale",-1.49667011593481,0.698858181840857,-2.14159346606266,0.0322262099820505
"age60:sexMale",-2.23296948323769,1.11619921659881,-2.00051160225844,0.0454450483511759
"age61:sexMale",0.0226802644307969,0.390188336923599,0.0581264540340113,0.953647902740542
"age62:sexMale",0.252529738874445,0.630303931120412,0.400647570808506,0.688679616595669
"age63:sexMale",-0.111595452753586,0.602369436414126,-0.185260815053811,0.853024471025874
"age64:sexMale",-0.00179330542820544,0.643029583108256,-0.00278883814262015,0.997774831987843
"age65:sexMale",0.533729028740421,0.55880480763511,0.955126050184123,0.339513956720861
"age66:sexMale",-0.962695599090541,0.552647655319012,-1.7419699329672,0.081513705582202
"age67:sexMale",0.118175703753365,0.557608609568328,0.211933068689256,0.83215925145349
"age68:sexMale",-0.207995146416742,0.586467382217705,-0.354657654838734,0.722846077818457
"age69:sexMale",0.302237905025109,0.890991147616268,0.339215384837108,0.734447480220865
"age70:sexMale",-0.393160172917791,0.837908598431297,-0.469216062054801,0.638915205677151
"age71:sexMale",0.496739880375926,0.620247313836783,0.800873892227193,0.423204655784567
"age72:sexMale",-0.679530756228552,0.60546968412358,-1.12232003359867,0.26172639117949
"age73:sexMale",0.484909346136173,0.612506017416519,0.79168095063207,0.428546732441856
"age75:sexMale",1.09824247102476,0.864145491595218,1.27089996037287,0.203764240527541
"age76:sexMale",-0.197537882554295,0.771576585048923,-0.256018503389097,0.797936549712577
"age77:sexMale",1.5190688642944,0.632130455714542,2.40309393506012,0.0162570108415043
"age78:sexMale",-0.978676689285365,0.828164870717985,-1.18174137045549,0.237308337622772
"age79:sexMale",1.48821145499996,0.894936182155922,1.66292466957234,0.0963275155171822
"age81:sexMale",-0.0284615525103674,0.511942793327595,-0.0555951814955128,0.955664303179416
"age82:sexMale",0.964132542080943,0.561250789680342,1.71782839295435,0.0858279210105805
"age91:sexMale",0.695868555486264,0.69379647865592,1.0029865773236,0.315867337594809
"age 1:siteUrban",0.292733348430926,0.235538756962207,1.24282454491299,0.213932495633371
"age 2:siteUrban",0.522331828248047,0.325197036248055,1.60620107204674,0.108229737895756
"age 3:siteUrban",-0.431819997263355,0.253033658062886,-1.70657137303068,0.0879017497966842
"age 4:siteUrban",-0.644332138331777,0.285704881686635,-2.25523671324065,0.0241184746408153
"age 5:siteUrban",0.216611115187026,0.426128716523662,0.508323205612918,0.611226698595301
"age 6:siteUrban",0.0812095555726012,0.284301812172687,0.285645578380182,0.775149590711053
"age 7:siteUrban",0.112350840503725,0.285200958415247,0.393935704592354,0.693628508930586
"age 8:siteUrban",-0.339658700672255,0.279420689887344,-1.21558178390154,0.224144276813851
"age 9:siteUrban",0.078228927434474,0.294141839864691,0.265956476883602,0.790272728565702
"age10:siteUrban",-0.3383890524713,0.321585917056571,-1.0522508434714,0.292684478113745
"age11:siteUrban",0.272044863654156,0.318910518630663,0.853044499197648,0.393634627581389
