"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",2.21309467879683,0.0247182321886257,89.5328865716862,0
"age 1",0.129169306871175,0.0526791196205034,2.45200200386227,0.0142063870809236
"age 2",0.313094647649881,0.0598222638707333,5.23374789570703,1.66106974104475e-07
"age 3",0.0114158455126328,0.0512828998279687,0.22260530412531,0.823842707934828
"age 4",0.108443028894431,0.057898856476336,1.87297358694386,0.061072032438885
"age 5",0.663305605206754,0.0681859071020621,9.72789881953032,2.29279917155367e-22
"age 6",0.5374298223736,0.0517157462008598,10.3919958978503,2.69650387698113e-25
"age 7",0.617958144278074,0.0512617144438193,12.0549644307221,1.82611311369319e-33
"age 8",0.488744213120675,0.0623268319364782,7.84163413951136,4.44720510602914e-15
"age 9",0.48489599798137,0.0591917069428937,8.19195835067203,2.57009581114495e-16
"age10",0.543568178843671,0.0554741505404671,9.79858499044796,1.14173801451487e-22
"age11",0.6365266254752,0.0577900300709743,11.0144712624903,3.25441731196303e-28
"age12",0.565695273997652,0.0598079917158802,9.45852314662237,3.12323069357524e-21
"age13",0.678121580119265,0.0575565479777743,11.7818320233716,4.84288864149585e-32
"age14",0.606670920778264,0.0511073280370678,11.8705270668474,1.68403305396495e-32
"age15",0.686591815607252,0.0497933873712179,13.7888151791843,2.97607631618494e-43
"age16",0.516895366842213,0.0552684051005604,9.35245672281887,8.56351016779529e-21
"age17",0.582465968206712,0.0586831313718202,9.92561157849893,3.22121888283996e-23
"age18",0.736783892508347,0.0521948947314288,14.1160145316798,3.02629077933746e-45
"age19",0.627211125438089,0.0629907925441083,9.95718739367971,2.34605942259039e-23
"age20",0.452914533519462,0.0671812847570643,6.74167716734289,1.56568664786232e-11
"age21",0.286901433230818,0.0810570264026122,3.53950108909463,0.000400884116324253
"age22",0.542265106551457,0.069527475476926,7.79929233489022,6.22552953212335e-15
"age23",0.439915617654941,0.0866584178353501,5.07643260335972,3.84587125833918e-07
"age24",0.3064659003188,0.103979074309259,2.94738054127407,0.00320478549901997
"age25",0.423959837428812,0.0748982553042341,5.66047681226621,1.50952985247347e-08
"age26",0.474488595152399,0.091405935183024,5.19100421873394,2.09162886188917e-07
"age27",0.423868402263282,0.146148943879611,2.90024950582222,0.00372865729218376
"age28",0.285747406498568,0.072712956377185,3.92980041983586,8.50163974987651e-05
"age29",0.401643627303449,0.0958695795328447,4.1894793871068,2.79595177145801e-05
"age30",0.466201387647102,0.0827238812380311,5.63563242766193,1.74417050714039e-08
"age31",0.402692732212012,0.078419187697689,5.13513011336484,2.81948891598359e-07
"age32",0.541400155601037,0.0734384674871093,7.37216031497484,1.67884952812908e-13
"age33",0.262918103415961,0.0867413195852832,3.03105953048665,0.00243697195274607
"age34",0.448298121493354,0.0667244685569952,6.71864656532143,1.83420194109143e-11
"age35",0.397790241340638,0.107759804932524,3.69145287140898,0.000222976716672139
"age36",0.323784729799349,0.0879593478147453,3.6810724254264,0.000232255014723929
"age37",0.312163755388847,0.0994347384591348,3.13938328019174,0.00169303845815711
"age38",0.573585031865226,0.0688835755312051,8.32687658040319,8.30031992471212e-17
"age39",0.436030129773555,0.0994446304925831,4.38465231972555,1.16171172249265e-05
"age40",0.605104029689124,0.0688040493460584,8.79459908886582,1.43559633672038e-18
"age41",0.337628859620925,0.0983961510496746,3.43132181512339,0.000600647581371884
"age42",0.593269431807165,0.0728231230836794,8.14671778255723,3.7393500082116e-16
"age43",0.207713149774553,0.106043511770599,1.95875397095387,0.050141606471868
"age44",0.360547429706124,0.0754194211290346,4.78056479761712,1.74803404503382e-06
"age45",0.696795422661637,0.0664837838394974,10.4806823923231,1.05976285993951e-25
"age46",0.348954759170545,0.0844832160194297,4.1304625416993,3.62034083466846e-05
"age47",0.163516002105036,0.118852928453038,1.37578437682035,0.168888399759557
"age48",0.0627650357100769,0.107754334295085,0.582482701235896,0.560241590231047
"age49",0.359516762109368,0.104446685018015,3.44210792374462,0.000577199917870879
"age50",0.380150551447191,0.130557536352529,2.91174728068333,0.00359413295484219
"age51",0.396679214667877,0.105547118565817,3.75831401233862,0.000171062120700283
"age52",0.762116482016503,0.100952435015128,7.54926299600695,4.37728163214977e-14
"age53",0.508905346182255,0.0750504713650161,6.78084143811887,1.19477951277488e-11
"age54",0.573358346856848,0.0752419061678986,7.6201996474867,2.53283659808538e-14
"age55",0.558351037867502,0.0824697001764999,6.77037792877301,1.28446420885283e-11
"age56",0.383208776872174,0.0870812992822146,4.40058634897332,1.0795875531324e-05
"age57",0.589736126630381,0.0854864782021762,6.89858956682776,5.25213719379035e-12
"age58",0.630147544251991,0.195754776626121,3.21906599222114,0.00128608883641742
"age59",0.292324182341271,0.125589561350133,2.32761528266109,0.0199325412062683
"age60",0.0959867553819423,0.104213544173314,0.921058353243506,0.357019962091955
"age61",0.208664899977164,0.0891867042222513,2.33964133776236,0.0193022665251066
"age62",-0.3492676811649,0.195592612726971,-1.78568953241831,0.0741495411531222
"age63",0.38328369270368,0.103418576174467,3.70613971765654,0.000210442237742596
"age64",0.479923260205204,0.117268364921545,4.09252112047681,4.26708364814031e-05
"age65",0.786022400059083,0.141134401888311,5.56931824943088,2.55737998395104e-08
"age66",0.470117686901233,0.101737948804191,4.62086853948707,3.82136868890111e-06
"age67",0.417722212909521,0.0907228150939686,4.60437887070473,4.13698719998128e-06
"age68",0.576888838427359,0.137342348045048,4.20037116474913,2.66477769419853e-05
"age69",-0.0878313693159485,0.128023901218326,-0.68605446701835,0.492678762344232
"age70",-0.405340478624978,0.302328034099297,-1.34073070607752,0.180007901281457
"age71",0.159626469788499,0.155925784608921,1.02373363192534,0.305961105452016
"age72",0.465963903847205,0.150885731456034,3.08819064169086,0.00201379239067979
"age73",-0.551943952816851,0.230488021218152,-2.3946752195614,0.0166350930378593
"age75",-0.42369142305455,0.283786928479333,-1.49299132741911,0.135439457076483
"age76",-0.310362737747551,0.268260306836945,-1.15694618188966,0.247294348974168
"age77",-0.135621066673924,0.164798439287341,-0.822951159370245,0.410535768160576
"age78",-0.129087101996821,0.263550121484969,-0.489800958047305,0.624274752712741
"age79",-0.338651254961974,0.243571551545788,-1.39035635653169,0.164420692358886
"age80",0.489665878753034,0.289779913446564,1.68978544071285,0.0910690101938044
"age81",0.258864546758172,0.132123563251235,1.95926101588661,0.0500822267299818
"age82",0.0031297624518328,0.164988930379865,0.0189695299231709,0.984865412633443
"age83",-0.911369288537693,0.500588391705703,-1.82059612975103,0.0686682715853036
"age84",0.0089201618476453,0.192128453557036,0.0464281145374298,0.962969028508505
"age85",0.187243000130411,0.289693063851788,0.646349614453344,0.518052963257318
"age90",-0.198191658254563,0.365984049291583,-0.541530863539526,0.588141730482703
"age91",0.327724665629373,0.19562941970075,1.67523200820555,0.0938887197274779
"age93",-0.0158701014606099,0.334248563368104,-0.0474799391826624,0.962130718514435
"sexMale",0.0845689708607575,0.016060962275999,5.26549838094911,1.39809551815532e-07
"siteUrban",-0.30242287862262,0.0163413366566819,-18.506618214671,1.82611305438317e-76
