"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",2.21526018723559,0.0433758851371268,51.071238782387,0
"age 1",-0.0355491923920767,0.0945970673523176,-0.375795924620762,0.707068617797383
"age 2",0.0132169336047363,0.131400465378736,0.100585135422779,0.919879797069801
"age 3",0.167367613432395,0.0896398798692812,1.86711108578527,0.0618860766384198
"age 4",0.314098225123248,0.0955397508899826,3.28761821333346,0.0010103875944225
"age 5",0.159645567338093,0.219984306982126,0.725713436236449,0.468014463127072
"age 6",0.603138071035489,0.0966651642447969,6.23945633101175,4.39094311563788e-10
"age 7",0.742250873498205,0.121936378303656,6.08719796195514,1.14903863908956e-09
"age 8",0.723901734830011,0.1116399480179,6.48425359992056,8.9172124149544e-11
"age 9",0.423797142379667,0.117414774364816,3.60940217849332,0.000306903478408463
"age10",0.6671434010114,0.0994055703236766,6.7113281362312,1.92860856155955e-11
"age11",0.453124757474191,0.115940334021633,3.90825816828892,9.29639374416456e-05
"age12",0.519107322183997,0.121936378389386,4.25719813103112,2.07004889250457e-05
"age13",0.665809177998263,0.105958774077221,6.28366252626735,3.30688148365301e-10
"age14",0.763664968002023,0.086782399858195,8.79976780141912,1.3709952841147e-18
"age15",0.845010607455978,0.0984579474264481,8.58245199644481,9.28718928001585e-18
"age16",0.520960890833318,0.105549640789006,4.9356955356648,7.98656175936767e-07
"age17",0.780472086318404,0.119922756019987,6.50812333055726,7.60954343763839e-11
"age18",0.642167414941223,0.107008623025697,6.00108100435057,1.96008168966066e-09
"age19",0.356078968324716,0.120914518843523,2.94488182006928,0.00323078040357766
"age20",0.43798177737163,0.126356537043704,3.46623758152015,0.000527796673753308
"age21",0.136115069927893,0.160284095344916,0.849211330887112,0.395763709390202
"age22",0.606118699173625,0.117414774692928,5.16220127116703,2.44062664651125e-07
"age23",0.588100193670953,0.179400383818274,3.27814345295201,0.00104492278000659
"age24",0.000313528768830898,0.195563554310675,0.00160320653782361,0.998720826803663
"age25",0.729178791930855,0.12263507715278,5.94592353884555,2.7490245466154e-09
"age26",0.852792747898024,0.219984306982125,3.87660719801854,0.0001059231536594
"age27",0.915075421280591,0.49087183838816,1.86418398799442,0.0622958711582988
"age28",0.191684921082702,0.141065535937443,1.35883594677375,0.174198579701146
"age29",0.368737365196644,0.199040991928881,1.85256997376901,0.0639440194776574
"age30",0.378127105546483,0.143433107044299,2.63626099537605,0.00838252289999568
"age31",0.792894606316962,0.163011734044272,4.86403393575104,1.1501718033687e-06
"age32",0.349689170225946,0.145300504617835,2.40666177413277,0.0160990720083047
"age33",0.0873249057584578,0.319188764544476,0.273583895984189,0.784404411133799
"age34",0.107127533054638,0.146592327718521,0.730785401404765,0.46491024185586
"age35",-0.0180356098993676,0.336143687316214,-0.0536544655750184,0.957210461716294
"age36",0.458888462190942,0.190694063887524,2.40641188737582,0.0161100897487776
"age37",0.237897764237833,0.152927576831263,1.55562370873321,0.119797597581686
"age38",0.663938270062452,0.114531316505664,5.79700199315893,6.75108892337988e-09
"age39",0.525579836689615,0.121592323844397,4.32247546615034,1.54288244599848e-05
"age40",0.94174023391452,0.210795300945705,4.46755800385269,7.91175629543118e-06
"age41",-0.135818645555749,0.356204249569583,-0.381294287532686,0.702984891968423
"age42",0.837167429994955,0.132776123258238,6.30510523617818,2.87998147405165e-10
"age43",-0.318140202349706,0.227775036848705,-1.39672989082216,0.162494812038854
"age44",0.136115069927893,0.18337801611879,0.742264927981988,0.45792683680719
"age45",0.835196986007646,0.117114418147546,7.1314616869413,9.93085984626983e-13
"age46",0.533612008386877,0.133721603861208,3.99046969957616,6.59425736058633e-05
"age47",0.070517787442077,0.189155418891912,0.372803421943585,0.709294755822607
"age48",0.349689170225951,0.280721471096363,1.24568017138209,0.212881836076859
"age49",0.841096708134843,0.159407901858304,5.27638026929482,1.31760530971075e-07
"age50",0.426766610093933,0.403160736136208,1.0585520162106,0.289803849578222
"age51",0.458888462190945,0.190694063340638,2.40641189427711,0.0161100894444019
"age52",0.927454276667048,0.127553740119025,7.27108649108684,3.5660751142446e-13
"age53",0.536275125806362,0.152177735415217,3.524005166348,0.000425075960946769
"age54",0.588100193670948,0.179400383819153,3.27814345293593,0.00104492278006612
"age55",0.492790013866622,0.261816985847167,1.88219267849292,0.0598098593838001
"age56",0.557328535004194,0.150714301725987,3.69791405740294,0.000217378456467334
"age57",0.484421764196108,0.136704755222723,3.54356191492295,0.000394760605928568
"age58",0.907491177922304,0.251215424261717,3.61240230606571,0.000303373415289748
"age59",0.557328535004206,0.150714301726024,3.69791405740211,0.000217378456468043
"age60",-0.0367277429114668,0.199040991928881,-0.184523512245106,0.853602783736273
"age61",0.0747461235515984,0.164917928399509,0.453232248773634,0.650381513104984
"age62",-1.60593623314953,0.77054857568304,-2.08414665061963,0.0371468297480179
"age63",-0.018035609524058,0.1972751624989,-0.091423620163834,0.92715599416275
"age64",0.70251054484869,0.236506916316379,2.97035941185302,0.00297451518732165
"age65",0.546477832387833,0.214432473539978,2.54848448728989,0.0108192098542366
"age66",1.21872701724955,0.184768860816853,6.59595459896017,4.22528222364106e-11
"age67",0.632551956241784,0.175689995895571,3.60038688041048,0.000317744044148371
"age68",0.423797142379678,0.27075826642967,1.5652232818892,0.117530564307308
"age69",-0.962497218740227,0.536279547554923,-1.79476771607005,0.0726907164853032
"age70",-0.269350038180275,0.3804452789411,-0.707986281049304,0.47895377699671
"age71",-0.075194023739318,0.345728978008725,-0.217494131305997,0.827823280083252
"age72",0.661125328685848,0.173350747030224,3.8138014402129,0.00013684542936407
"age73",-0.828965826115694,0.356204249502716,-2.32722048451972,0.0199535333083024
"age75",-1.11664789856749,0.578977374985206,-1.92865549987341,0.0537736441174842
"age76",-0.200357166693319,0.367715652025805,-0.544869835128092,0.585843044007418
"age77",-0.768341204299262,0.345728978008725,-2.22238011035301,0.0262576283355641
"age78",0.18263508556278,0.304615426924703,0.599559541046899,0.548799817801707
"age79",-1.52211300667563,0.708435930350401,-2.14855421847785,0.0316697541074959
"age80",0.436102077570056,0.292498812910968,1.4909533246646,0.135973749721936
"age81",0.0360316113714381,0.233480174802575,0.154324072276824,0.877354217741796
"age82",-0.343458010333996,0.230572155054641,-1.4895901469655,0.136332034312142
"age83",-0.883402865029345,0.501517453830191,-1.76145986202996,0.0781606007969708
"age84",-0.129631062652967,0.245648704267054,-0.527709124457827,0.597701239253513
"age85",0.21520942363876,0.291295536920242,0.738800964525881,0.460027866050126
"age90",-0.20035716669332,0.367715652025804,-0.544869835128097,0.585843044007415
"age91",-0.075194023739313,0.345728978008729,-0.21749413130598,0.827823280083265
"age93",-0.0180356098993668,0.336143687316213,-0.0536544655750162,0.957210461716296
"sexMale",0.0544370389136503,0.0583200129265,0.933419527568636,0.350603401852312
"siteUrban",-0.319390984251355,0.0662162834381698,-4.82345078381801,1.41095594373434e-06
"age 1:sexMale",0.226152805228658,0.1326114551471,1.70537910905055,0.0881237420046343
"age 2:sexMale",0.302797189156105,0.160109808020089,1.89118451205758,0.0585997180879763
"age 3:sexMale",-0.107351079199293,0.120088480896066,-0.893933193244432,0.371357636669432
"age 4:sexMale",-0.392141918985714,0.147718597799242,-2.65465503212166,0.00793895497019798
"age 5:sexMale",0.948244722535689,0.238199056214073,3.98089202202164,6.86571339240951e-05
"age 6:sexMale",-0.134932132932834,0.129407354560044,-1.04269292415082,0.297090536072124
"age 7:sexMale",-0.326370754397289,0.154803082739245,-2.10829622138106,0.0350053746016245
"age 8:sexMale",-0.252758937054045,0.157276580143995,-1.6070983793177,0.108032788782442
"age 9:sexMale",0.161538022921948,0.150000767796409,1.0769146404717,0.281518401825074
"age10:sexMale",-0.196000603235437,0.136270622985471,-1.43831883161152,0.150343611082094
"age11:sexMale",0.0392954387490583,0.159650347130344,0.246134377127137,0.805578212381364
"age12:sexMale",0.135700215932391,0.172658783914933,0.785944467205614,0.431900021805263
"age13:sexMale",-0.560600649573825,0.189744123107288,-2.95450863190552,0.00313167392590681
"age14:sexMale",-0.13194060006851,0.14156253886702,-0.932030473064994,0.351320777238857
"age15:sexMale",-0.238322317683789,0.129798022802066,-1.83610129444896,0.0663426769028035
"age16:sexMale",0.080077666396752,0.135374316421436,0.591527761790953,0.55416685955022
"age17:sexMale",-0.0769098947657073,0.146911681256343,-0.523511092569345,0.600618633802753
"age18:sexMale",-0.0496637601609902,0.1650948702531,-0.300819523252618,0.763552120163805
"age19:sexMale",-0.113470570497838,0.207766947300337,-0.546143513067123,0.584967291221547
"age20:sexMale",0.166692413028853,0.159844446502671,1.04284144163912,0.297021734288716
"age21:sexMale",0.581551727806345,0.209803408927488,2.77188884002996,0.00557320648334506
"age22:sexMale",-0.151236422269443,0.178043333026865,-0.849436031657658,0.395638710745183
"age23:sexMale",-0.0852086975804062,0.210049805685021,-0.40565949253093,0.684992809474525
"age24:sexMale",0.344949023118133,0.253288578845122,1.36188147405201,0.173235293666046
"age25:sexMale",-0.282188497439244,0.194744746474557,-1.44901725231449,0.147332764659391
"age26:sexMale",-0.218324894018759,0.278046960050381,-0.785208707116234,0.432331211211694
"age27:sexMale",-0.0277722262797114,0.443714112618578,-0.0625903605269925,0.950092705552953
"age28:sexMale",0.212766502194592,0.196623043479333,1.0821035949276,0.279206498608596
"age29:sexMale",-0.0607462081069139,0.257785819355047,-0.235646042357545,0.813707342720347
"age30:sexMale",-0.370557046685961,0.270877940192469,-1.36798532365783,0.171316670072661
"age31:sexMale",-0.367964651696133,0.203975722687497,-1.80396297582863,0.0712371112868037
"age32:sexMale",0.24993195232315,0.191875976353571,1.30257032210535,0.192721495343251
"age33:sexMale",0.0707261040403547,0.364435163799583,0.1940704714193,0.846120702429047
"age34:sexMale",0.597854105152282,0.177537898320351,3.36747314690809,0.000758604138432169
"age35:sexMale",0.52092710598991,0.367893555736141,1.41597235903617,0.156783597459099
"age36:sexMale",-0.353679933766506,0.247264628387773,-1.43037011024418,0.15261082217266
"age37:sexMale",0.475558500960065,0.224105010983697,2.12203421455248,0.0338348649724986
"age38:sexMale",-0.161046773971915,0.277735807840543,-0.579855997770285,0.562011731179705
"age39:sexMale",-0.655210899342582,0.365993864071146,-1.79022372685247,0.0734179522209374
"age40:sexMale",-0.272275537998162,0.237773896494144,-1.14510272999991,0.252166604751859
"age41:sexMale",0.756493177302676,0.37721361692897,2.00547685277524,0.044912092902123
"age42:sexMale",-0.70896938334582,0.222378698845858,-3.18811732879704,0.00143202417080038
"age43:sexMale",0.938814734096634,0.284919289774358,3.29501991542983,0.00098414704855789
"age44:sexMale",0.295548916874283,0.220386188284322,1.3410500865553,0.179904191313291
"age45:sexMale",0.421466312459275,0.173035908939389,2.43571588719719,0.0148623528537225
"age46:sexMale",-0.57868568301178,0.271026341689334,-2.13516398223425,0.0327476178312816
"age47:sexMale",0.526966584576212,0.312020719364681,1.68888330765082,0.091241794740648
"age48:sexMale",-0.479320232878912,0.33126433955026,-1.44694183964884,0.14791321354754
"age49:sexMale",-0.565262662679645,0.257189272610066,-2.19784696672268,0.0279600132157647
"age50:sexMale",-0.321558081669503,0.338389117398694,-0.950261297235038,0.341979499238015
"age51:sexMale",-0.125896002895795,0.33460133945302,-0.376256721212175,0.706726050730503
"age52:sexMale",-0.55840047734188,0.401980218543111,-1.389124269263,0.164794965035711
"age53:sexMale",-0.106290400523906,0.203677545010475,-0.521856253316682,0.601770419282291
"age54:sexMale",0.221816337714781,0.238102379164352,0.931600677377821,0.351542932933414
"age55:sexMale",0.0332685415054562,0.292121663261957,0.113885910185384,0.909328234935638
"age56:sexMale",-0.521171135573517,0.255009965211228,-2.04372850740097,0.0409803753331856
"age57:sexMale",0.163651741738937,0.272510551448704,0.60053359720914,0.548150677001325
"age58:sexMale",-0.653710657146211,0.406609655084562,-1.60771061132392,0.107898573462965
"age59:sexMale",-1.49667011593481,0.508279981317033,-2.94457812809528,0.00323395285722911
"age60:sexMale",-2.23296948323776,1.0203612463066,-2.18841071367658,0.0286396985752943
"age61:sexMale",0.0226802644307828,0.244882991659085,0.092616740252656,0.926208044113691
"age62:sexMale",0.252529738874453,0.438435116055777,0.575979727961221,0.56462888396599
"age63:sexMale",-0.111595453128905,0.397598170341381,-0.280673960428663,0.778960482790228
"age64:sexMale",-0.00179330542822636,0.329753437046305,-0.00543832217274064,0.995660868090265
"age65:sexMale",0.533729028737538,0.287382604732849,1.85720715153825,0.0632816879253068
"age66:sexMale",-0.962695599090535,0.27506233529224,-3.49991792975842,0.000465401421204977
"age67:sexMale",0.118175703753343,0.284898611718242,0.414799156235326,0.678288937311731
"age68:sexMale",-0.20799514641674,0.337475586382969,-0.616326498298771,0.53767905343179
"age69:sexMale",0.302237905025085,0.699367935797769,0.43215865291325,0.665626108113353
"age70:sexMale",-0.39316017291778,0.630048277903815,-0.624015947199844,0.532617112085052
"age71:sexMale",0.496739880375912,0.393632554314328,1.26193800520688,0.206971095064544
"age72:sexMale",-0.679530756228575,0.369909983491919,-1.83701653524964,0.0662074543977682
"age73:sexMale",0.484909346136175,0.469055199666255,1.03380017209318,0.301229591177124
"age75:sexMale",1.09824247102475,0.664829087161368,1.65191699977198,0.0985514720695125
"age76:sexMale",-0.197537882554326,0.539055387773125,-0.366451921332924,0.714027882379944
"age77:sexMale",1.51906886429438,0.412102864023235,3.68614003179735,0.000227681104163056
"age78:sexMale",-0.978676689285355,0.617030847086106,-1.58610658430952,0.112715133509754
"age79:sexMale",1.48821145499995,0.755493452188103,1.96985354497741,0.0488551578373726
"age81:sexMale",-0.0284615525109144,0.327589376818311,-0.0868817932600417,0.930765471662471
"age82:sexMale",0.964132542080925,0.332022334698157,2.90381833185235,0.00368641997471169
"age91:sexMale",0.695868555486234,0.420242594565129,1.65587345139615,0.0977474490350027
"age 1:siteUrban",0.292733348434027,0.156060653665625,1.87576651486566,0.0606873478767892
"age 2:siteUrban",0.522331828257483,0.20432116281569,2.5564254874991,0.0105753717680604
"age 3:siteUrban",-0.431819997263745,0.179659582237283,-2.40354559376312,0.0162369421180581
"age 4:siteUrban",-0.644332138329854,0.203670470530165,-3.16360116737898,0.00155830181691789
"age 5:siteUrban",0.216611115187012,0.267422474788256,0.809995926327897,0.417942517040384
"age 6:siteUrban",0.0812095555726068,0.164313109370261,0.494236618635279,0.621139081244938
"age 7:siteUrban",0.112350840503725,0.15414728506366,0.728853839088544,0.466091074005366
"age 8:siteUrban",-0.339658700672254,0.162265964183707,-2.09322208992463,0.036329333711858
"age 9:siteUrban",0.0782289274344708,0.177315744285696,0.441184327706546,0.659079558227806
"age10:siteUrban",-0.338389052471299,0.198523608720313,-1.70452801383453,0.0882824870443017
"age11:siteUrban",0.272044863654159,0.184735237612646,1.47262031418492,0.14085344409111
"age12:siteUrban",-0.274910361671956,0.184873826824479,-1.48701612550574,0.137010552032144
"age13:siteUrban",0.0844964164016287,0.167077190986689,0.50573280471516,0.613044235783035
"age14:siteUrban",-0.261638898187883,0.13527297038162,-1.93415504553327,0.0530940677025073
"age15:siteUrban",-0.280070712231268,0.156180082405699,-1.79325499075962,0.0729321607443798
"age16:siteUrban",-0.100060365831548,0.166518354823966,-0.600896915762387,0.547908647593009
"age17:siteUrban",-0.52457908604317,0.200350717857035,-2.61830400037546,0.00883680405907846
"age18:siteUrban",0.0123846389731746,0.153980751211833,0.0804297866824724,0.93589543729119
"age19:siteUrban",0.67733900283689,0.157343692070432,4.30483735270232,1.67108463607135e-05
"age20:siteUrban",-0.0825591817493649,0.266647111707554,-0.3096196363076,0.756850222003186
"age21:siteUrban",0.335139341219492,0.243811648617274,1.37458297468625,0.169260769850809
"age22:siteUrban",0.199373310793556,0.172372204513845,1.15664420116842,0.247417755534034
"age23:siteUrban",-0.692209927427128,0.448725186680831,-1.54261438397814,0.122924365938658
"age24:siteUrban",0.876405990486717,0.321322630008468,2.72749538513245,0.00638171502707021
"age25:siteUrban",-0.330831151591555,0.185335408381434,-1.78504018460779,0.0742547990329561
"age26:siteUrban",-1.13922403844816,0.388453631799646,-2.93271563241745,0.00336011497787793
"age27:siteUrban",-0.796041603722555,0.324220140658015,-2.45525031883264,0.0140786515636545
"age28:siteUrban",0.298912452907817,0.213051918454869,1.40300286932706,0.160615983317331
"age29:siteUrban",0.409542081245657,0.333295608267418,1.22876530949386,0.219159811580651
"age30:siteUrban",0.456032799290271,0.211696279969523,2.15418428399367,0.031225722845488
"age31:siteUrban",-0.673860788758937,0.309423045172338,-2.17779767626428,0.029421102986072
"age32:siteUrban",0.505976939831774,0.211877231357721,2.38806660153829,0.0169372720676103
"age33:siteUrban",0.299188276933837,0.35326018529218,0.846934609079648,0.397031570493586
"age34:siteUrban",0.35785726507915,0.207027447105812,1.72854986177871,0.0838896897053492
"age35:siteUrban",-0.0860741238568126,0.531189583830614,-0.162040308162857,0.871274111975877
"age36:siteUrban",0.0875893701940315,0.246183844347119,0.355788457306446,0.721998993957535
"age37:siteUrban",0.505290362393199,0.311959202404719,1.61973219093458,0.105289818030234
"age38:siteUrban",-0.132059237098634,0.174144863818594,-0.758329784771599,0.448253580808213
"age39:siteUrban",-0.0700737825103677,0.254768266504743,-0.27504910039125,0.78327851581983
"age40:siteUrban",-0.395262401529551,0.24785185354343,-1.59475265517952,0.11076755812468
"age41:siteUrban",0.380015606067788,0.497022791243916,0.764583863683012,0.444519380859947
"age42:siteUrban",-0.45576934796943,0.267235250209502,-1.70549861072641,0.0881014711648157
"age43:siteUrban",0.864618034734684,0.312830396639983,2.76385557164932,0.00571228171612055
"age44:siteUrban",-0.0625436264466153,0.287475657201739,-0.217561469570707,0.827770808165868
"age45:siteUrban",-0.651624647312042,0.203024421484146,-3.20958750946584,0.00132925577470886
"age46:siteUrban",-0.250948767047042,0.241081822576386,-1.04092778279677,0.297909066282506
"age47:siteUrban",-0.120560299927978,0.301520280558432,-0.399841429255418,0.689273314223665
"age48:siteUrban",0.12934738136349,0.357518252712247,0.361792385094242,0.717507183044111
"age49:siteUrban",-0.945206441891015,0.44111299529992,-2.14277623185495,0.0321310707176131
"age50:siteUrban",0.351512836348365,0.301777953368988,1.1648062173666,0.244097441632291
"age51:siteUrban",0.143942306745163,0.257419142350119,0.559174836148688,0.576042405008273
"age52:siteUrban",-0.277792208046844,0.240808578904067,-1.15358102818052,0.248671980098421
"age53:siteUrban",0.145544054448373,0.225782301417183,0.644621183922863,0.519172703422918
"age54:siteUrban",-0.219605516481331,0.246295863550084,-0.891632986912401,0.372589683169722
"age55:siteUrban",0.232379607261726,0.298719066928075,0.777920236734264,0.436616037338111
"age56:siteUrban",-0.115521325183109,0.197512108423296,-0.584882243956056,0.558626898498613
"age57:siteUrban",-0.0449160513633021,0.231191226904415,-0.194280950729469,0.845955900569428
"age59:siteUrban",-0.0108507026192306,0.334924545629054,-0.03239745417539,0.974155092697611
"age60:siteUrban",-0.20091338346923,0.370619131187427,-0.542102030258187,0.587748220179751
"age61:siteUrban",0.108826215144009,0.267147366060632,0.407363983215576,0.683740675848269
"age62:siteUrban",1.38404346373697,0.727146463043938,1.90339021652277,0.0569896466733332
"age63:siteUrban",0.829698686057482,0.37066027240701,2.23843435032718,0.0251927440808423
"age64:siteUrban",-0.382806031828506,0.307899799620659,-1.24328119829936,0.213764230134887
"age66:siteUrban",-1.01965049201799,0.259638000437843,-3.92720052649648,8.59403269408503e-05
"age67:siteUrban",-0.145793358558431,0.253257446500495,-0.575672544175898,0.564836536670211
"age68:siteUrban",0.319390984251349,0.383720912968666,0.832352299436516,0.405210118211306
"age69:siteUrban",0.70885575101309,0.595495601107932,1.19036269905982,0.233903867208916
"age71:siteUrban",-0.434380818125026,0.609943976948614,-0.712165107848292,0.47636254074853
"age77:siteUrban",-1.35261324927674,0.412516090872651,-3.27893451723393,0.00104199811719988
"age81:siteUrban",0.964050255065892,0.322187085098456,2.99220639080332,0.00276968944753472
"age84:siteUrban",0.4322017475985,0.397245016793376,1.08799790891601,0.276596030669194
"sexMale:siteUrban",0.0984983303200633,0.0901475174903587,1.09263497278888,0.274554101104557
"age 1:sexMale:siteUrban",-0.242135222701366,0.218798013182352,-1.10666097547954,0.268440533671277
"age 2:sexMale:siteUrban",-0.277080730494262,0.258929161104134,-1.07010245316799,0.284573195032895
"age 3:sexMale:siteUrban",0.12397501514568,0.243381070645941,0.509386431806905,0.610481384940289
"age 4:sexMale:siteUrban",0.95934923465204,0.260185045592691,3.68718053132793,0.000226752494322061
"age 5:sexMale:siteUrban",-1.2938644355989,0.351780277965626,-3.67804711248005,0.000235026554941858
"age 6:sexMale:siteUrban",-0.0611276629346343,0.218912230346036,-0.279233658338821,0.780065514881251
"age 7:sexMale:siteUrban",-0.0217480852727857,0.211631424058476,-0.102763969809968,0.918150301749985
"age 8:sexMale:siteUrban",0.0969786156881001,0.303491287030654,0.319543327378307,0.749314541565685
"age 9:sexMale:siteUrban",-0.337462910380358,0.256189207005957,-1.31724093424635,0.187757876857534
"age10:sexMale:siteUrban",0.475198589192052,0.249034068252819,1.90816699307836,0.0563696362177997
"age11:sexMale:siteUrban",0.135545721670885,0.239016792248085,0.567097066260506,0.570648235995104
"age12:sexMale:siteUrban",0.357190939203769,0.245262516584187,1.45636171469831,0.145292653314569
"age13:sexMale:siteUrban",0.713420133851589,0.249750409380977,2.85653239015643,0.00428296302493329
"age14:sexMale:siteUrban",0.066016607824426,0.211977659499651,0.311431912118714,0.755472296919478
"age15:sexMale:siteUrban",0.427938231147674,0.205975746948872,2.07761465845733,0.0377448649823263
"age16:sexMale:siteUrban",-0.0930469907951613,0.25633472653071,-0.362990188861569,0.716612213366427
"age17:sexMale:siteUrban",0.0747974152665753,0.273064474152776,0.273918515027067,0.784147242641771
"age18:sexMale:siteUrban",0.296577033505882,0.218063564666719,1.3600485434564,0.173814562844818
"age19:sexMale:siteUrban",-0.329694643266455,0.281665700611395,-1.17051754100981,0.241792759375315
"age20:sexMale:siteUrban",-0.401865880499542,0.333884120015141,-1.20360884633063,0.22874079867755
"age21:sexMale:siteUrban",-1.27706141912063,0.335038633309182,-3.81168406313944,0.00013802322066195
"age22:sexMale:siteUrban",-0.998312067677261,0.375175544429475,-2.66091988803636,0.00779274959086989
"age23:sexMale:siteUrban",0.219955400798475,0.583534864885475,0.376936176455616,0.706221036022943
"age24:sexMale:siteUrban",-0.744744470283371,0.459761302389956,-1.61985027102542,0.105264444412497
"age26:sexMale:siteUrban",0.932490012468428,0.445917240800635,2.09117281671855,0.0365125751508662
"age28:sexMale:siteUrban",-0.60234610996142,0.292902635195048,-2.05647214324416,0.0397370286953344
"age29:sexMale:siteUrban",-0.323990775184127,0.411254062776571,-0.787811731260992,0.430806838057776
"age30:sexMale:siteUrban",0.0396385222568912,0.354701797863561,0.111751681259136,0.911020300216364
"age31:sexMale:siteUrban",0.451418060526656,0.366129409762957,1.23294673546962,0.217595637283052
"age32:sexMale:siteUrban",-0.712055599229609,0.302991492115902,-2.35008446691707,0.0187691512818937
"age33:sexMale:siteUrban",-0.213509101810051,0.422076441107385,-0.505854108440348,0.612959070603231
"age34:sexMale:siteUrban",-0.776268559686978,0.295585935704567,-2.62620262306,0.00863434020208179
"age35:sexMale:siteUrban",0.137067740992709,0.586323053493369,0.233775117959367,0.815159567368254
"age36:sexMale:siteUrban",0.0609826221576335,0.370950505981932,0.164395576159704,0.869419745910104
"age37:sexMale:siteUrban",-2.0888962034674,0.529361060359241,-3.9460707632137,7.94441437108272e-05
"age38:sexMale:siteUrban",0.114059982747586,0.335322871550218,0.340149725607084,0.733743776288007
"age40:sexMale:siteUrban",0.182519070385979,0.310101102412254,0.58857923743636,0.55614356525072
"age41:sexMale:siteUrban",-1.12768211255641,0.559859813191633,-2.01422228562495,0.043986200926244
"age42:sexMale:siteUrban",1.00879583692334,0.341070745132904,2.95773194071582,0.00309911498166312
"age43:sexMale:siteUrban",-1.58818698945602,0.448118063821594,-3.54412624189218,0.000393916580629061
"age44:sexMale:siteUrban",0.147024424888031,0.33939897801851,0.433190535064053,0.664876354450001
"age45:sexMale:siteUrban",-0.128114579064542,0.275075940435764,-0.465742583162991,0.641399767835452
"age46:sexMale:siteUrban",0.62212362402767,0.37305802752591,1.66763232024129,0.0953887381850782
"age48:sexMale:siteUrban",-0.0790802444629667,0.455504851207482,-0.17361010371972,0.862171890990965
"age49:sexMale:siteUrban",0.612997988908078,0.531970755839861,1.15231520187664,0.249191572355991
"age51:sexMale:siteUrban",-0.510836317715992,0.459072253905985,-1.11275798824603,0.265812383137798
"age53:sexMale:siteUrban",-0.129063915125227,0.303553793816933,-0.425176419317174,0.670708072748714
"age54:sexMale:siteUrban",-0.0614272038833751,0.316307362723221,-0.194200992839758,0.846018505496799
"age55:sexMale:siteUrban",-0.364895699482545,0.389513152673661,-0.9367994302063,0.348861738471636
"age57:sexMale:siteUrban",0.292476952376756,0.370892444639266,0.788576193999374,0.430359749334454
"age60:sexMale:siteUrban",2.88139487920422,1.07619446951444,2.67739238662346,0.00741976833654699
"age61:sexMale:siteUrban",0.296988777281295,0.363777019454649,0.816403349850194,0.414269481342495
"age64:sexMale:siteUrban",-0.0641306868158582,0.4998262864294,-0.128305950601333,0.89790685613194
"age66:sexMale:siteUrban",1.27976385910256,0.433678390958431,2.9509514095786,0.00316796749999682
"age67:sexMale:siteUrban",-0.525507167805371,0.374795043376558,-1.40211877689479,0.160879780844447
