"","term","estimate","SE","test_statistic","p_value","log_pvalue"
"1","(Intercept)",0.973948501273537,0.0691030240496756,14.0941516622109,4.12575936265226e-45,-5.99
"2","participant_age6-11mo",0.376428064164269,0.0843632822193878,4.46198931882905,8.1202274513107e-06,-5.99
"3","participant_age1-4y",0.210121483489908,0.0830216440561433,2.53092414488701,0.0113762448297361,-4.60517018598809
"4","participant_age5-9y",0.708686280599815,0.0816310006679463,8.68158266836109,3.9029921971498e-18,-5.99
"5","participant_age10-14y",0.888994217251771,0.0796687520607944,11.1586311352459,6.49844352796015e-29,-5.99
"6","participant_age15-19y",0.883039175570441,0.0797582227846223,11.0714499990175,1.72585211185447e-28,-5.99
"7","participant_age20-29y",0.597810495767077,0.0824994495050775,7.24623617919153,4.2851263040048e-13,-5.99
"8","participant_age30-39y",0.526921976240843,0.0833310119663613,6.32323985761206,2.56135243471419e-10,-5.99
"9","participant_age40-59y",0.569848456639303,0.0766062101151272,7.43867182285757,1.01702630464893e-13,-5.99
"10","participant_age60+y",0.381369946545031,0.0858011134525227,4.44481349016594,8.79681491981969e-06,-5.99
"11","sexMale",0.0389580794271468,0.0311856068742037,1.2492326855878,0.21157998032356,-1.56064774826467
"12","siteUrban",-0.283061122337364,0.0315291792611383,-8.9777510538073,2.76357524801986e-19,-5.99
