"","term","estimate","SE","test_statistic","p_value","log_pvalue"
"1","(Intercept)",0.951424740187929,0.0696132592617116,13.6672919825667,1.59210702619197e-42,-5.99
"2","participant_age6-11mo",0.340648195309852,0.0852285539797508,3.99687873844235,6.41831575896847e-05,-5.99
"3","participant_age1-4y",0.20212350148928,0.0838017487537395,2.41192462562138,0.0158685616965871,-3.91202300542815
"4","participant_age5-9y",0.70412809610889,0.0823198904294713,8.5535596857015,1.19349537848576e-17,-5.99
"5","participant_age10-14y",0.876106616964259,0.0804143216140314,10.8949077649296,1.21890005607092e-27,-5.99
"6","participant_age15-19y",0.887992784582792,0.0803309323224026,11.0541824787853,2.09234332797094e-28,-5.99
"7","participant_age20-29y",0.682168135615559,0.0822269772580224,8.29615970771932,1.0753095045371e-16,-5.99
"8","participant_age30-39y",0.643236851824494,0.0826713086676802,7.78065404057119,7.21505542293851e-15,-5.99
"9","participant_age40-59y",0.640244727061462,0.0767479649119945,8.34217204059572,7.29382334940337e-17,-5.99
"10","participant_age60+y",0.457863103679629,0.0853243642049871,5.3661472657404,8.04362749600555e-08,-5.99
"11","sexMale",0.060595144482828,0.0309780937089689,1.9560643418573,0.0504575750520365,-2.99573227355399
"12","siteUrban",-0.316059631118108,0.0313722964699743,-10.0744818416657,7.16373852523485e-24,-5.99
