"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",5.99112787917146,0.305830296123862,19.5897134950457,6.77616181030703e-75
"age 1",0.0339530288195711,0.660421250359965,0.0514111694635278,0.959005950239226
"age 2",1.40033603120844,0.825710734619341,1.69591598182868,0.0901463022392301
"age 3",-0.395717664777842,0.61721958354392,-0.641129470496918,0.521553972275421
"age 4",0.087791935695307,0.71757378463655,0.122345517039441,0.90264469608177
"age 5",4.78679623257576,1.08190089520454,4.42443134467579,1.04958379747497e-05
"age 6",3.25622412436448,0.775876784735028,4.19683149235677,2.89462391687498e-05
"age 7",4.17750122315945,0.775778506431336,5.3849148803779,8.62343756778614e-08
"age 8",2.76852553024387,0.905950555361066,3.05593447000038,0.00229029319851136
"age 9",2.68141171639926,0.87014013211109,3.08158607728362,0.00210320075189814
"age10",3.42130520126503,0.839395122708238,4.07591741804083,4.86716668918145e-05
"age11",4.69709713417827,0.905334685771835,5.18824387046853,2.46797869572838e-07
"age12",4.15401117020761,0.887550630107821,4.68030896412409,3.17060928881195e-06
"age13",5.41686557151489,0.905404069459552,5.9828155784061,2.84632544629753e-09
"age14",4.71481959508394,0.765480124713294,6.15929720820622,9.78139224001626e-10
"age15",6.35896604519579,0.786903873928275,8.08099471343484,1.48022521168581e-15
"age16",4.21881237612164,0.82526217842673,5.11208739041493,3.67351942152813e-07
"age17",4.87192738367413,0.905602181644051,5.37976551119777,8.86810727397302e-08
"age18",6.24726414546114,0.825529710806432,7.56758244274261,7.26333591161598e-14
"age19",5.11288952600726,0.969735790979449,5.272456243822,1.58003729074596e-07
"age20",3.89158485711979,0.994098992742809,3.91468544433643,9.5316649922169e-05
"age21",2.52012956590919,1.08190089520455,2.32935343438526,0.0199961398832542
"age22",3.69217320629519,1.0500399176918,3.51622175889401,0.000453120271999437
"age23",3.41431196234217,1.31436514365781,2.59768906594731,0.00949362583526593
"age24",1.81788319801425,1.46218292926823,1.24326659929209,0.213998529574485
"age25",3.09988862838976,1.02240664595457,3.03195273686385,0.00247889009055013
"age26",3.75489751749698,1.31370148378599,2.85825780349706,0.00432912079746529
"age27",4.9153279029732,2.05157136392676,2.39588443736373,0.0167239828531771
"age28",2.48708670478975,0.968681140458603,2.56749780801171,0.0103569000225185
"age29",3.21879479155503,1.38081584612857,2.33108187495069,0.019904517447255
"age30",3.06922292565696,1.20271897777693,2.55190363033102,0.0108296289817892
"age31",3.29762667542384,1.11853971458643,2.94815341147104,0.00325508510824836
"age32",3.92166375342671,1.11771801940302,3.50863427568368,0.000466115677836744
"age33",2.15395811345921,1.11894760133295,1.92498568377401,0.0544537581732167
"age34",2.70341413532468,0.968782601310693,2.79052713340139,0.00534078483707409
"age35",3.39182873897317,1.55968415235166,2.17468949329199,0.0298370176547023
"age36",1.52984264225835,1.20251408148474,1.2722035157954,0.203533155156538
"age37",1.58145653502805,1.38089130670401,1.14524331303291,0.252323639719163
"age38",4.22401928604648,1.02146925461899,4.13523879152098,3.77815892002664e-05
"age39",3.74509447330796,1.46484494321876,2.55664907787354,0.0106837803011802
"age40",4.35628715183138,1.05004892226399,4.1486516099068,3.56628222308331e-05
"age41",2.72184330257921,1.38165912906668,1.96998177431638,0.0490569475870139
"age42",3.73717914050189,1.1181852895429,3.34218235157575,0.000855356042250672
"age43",0.990475547284694,1.38049490275194,0.717478597936316,0.473210469349687
"age44",2.42910555049383,1.04979503894251,2.3138855303991,0.0208326146661486
"age45",5.66535757692936,1.05014802775748,5.39481808962432,8.17115427329584e-08
"age46",2.77293499524909,1.15771513433415,2.3951790151244,0.0167560464637784
"age47",1.19146321457614,1.46279884634815,0.814509265953145,0.415505607308684
"age48",0.518663295435064,1.31277938474424,0.395087934395095,0.692844183390698
"age49",1.8041055504938,1.46141800880811,1.23448974873737,0.217248291798392
"age50",2.6395240663877,1.83856943710545,1.43564013037398,0.151350431049777
"age51",3.13239278947824,1.46191135281629,2.14266944671021,0.0323288259541234
"age52",5.77069710918613,1.6824049810725,3.43002854491516,0.000622832772138142
"age53",3.00799287553577,1.11771671253303,2.69119432661867,0.00721291556089304
"age54",4.08252954203065,1.11894760133296,3.64854398648095,0.000274395289210527
"age55",3.84993087147926,1.25361402146008,3.07106557965526,0.00217816716857952
"age56",2.57764295934739,1.16120142945378,2.21980691201861,0.0266075182173561
"age57",5.40768865574825,1.31303369065179,4.11846907984811,4.05991681794883e-05
"age58",2.95376153074648,2.88981718632712,1.02212747045796,0.306914771522817
"age59",1.69193654238884,1.68106032209196,1.00646985724067,0.314380871530572
"age60",0.820946426961654,1.25401856035647,0.654652532996235,0.51280975340241
"age61",1.25899875599451,1.15765856302927,1.08753893090901,0.277004566983216
"age62",-1.03521635123716,1.83886616708646,-0.562964488534465,0.573558198586979
"age63",1.92910555049381,1.46141800880811,1.32002311376136,0.187064610142624
"age64",3.13879839410712,1.68157399553133,1.86658357137317,0.0621895240810313
"age65",6.97213172744046,2.36308111645119,2.95044113335856,0.0032312410469794
"age66",4.38239278947823,1.46191135281629,2.997714451725,0.00277286129118392
"age67",3.06468925517188,1.2547654601409,2.44243992405382,0.0147236134060836
"age68",4.78346875316906,2.05089661251008,2.33237927450404,0.0198359852332391
"age69",0.0539144284119204,1.38202764743383,0.0390111069861949,0.968887650101955
"age70",-1.3868240244083,2.8874198287349,-0.480298711883518,0.631097525920142
"age71",0.442883198014305,2.05068887547678,0.215968011193963,0.829047281778586
"age72",2.8513509872341,2.36528516567139,1.20549988162833,0.228234410719427
"age73",-1.63682402440833,2.05000033576828,-0.798450612836068,0.424757971072035
"age75",-0.22740957956308,2.88952232522769,-0.0787014440337162,0.937282465689982
"age76",-1.72740957956289,2.88952232522764,-0.597818388347911,0.550067450936763
"age77",-1.00219747551759,1.83745872508311,-0.54542584376814,0.585556221333365
"age78",0.113175975591684,2.8874198287349,0.0391962313430779,0.968740084194013
"age79",-0.518722739487243,2.36296377345701,-0.21952208718306,0.826278569762055
"age80",4.21747983035489,4.07827591463257,1.03413303038739,0.301270388582488
"age81",0.66156830242052,1.83849733182437,0.359841861594672,0.719025083130421
"age82",-0.609268729367327,2.05383844509965,-0.296648809365221,0.766783034216351
"age83",-4.46369127995464,4.07806489029568,-1.09456112152031,0.27391601126913
"age84",-0.236634243184776,2.36511904827279,-0.100051726088624,0.920319013748615
"age85",-0.463691279954616,4.07806489029557,-0.113703752252213,0.909490566896307
"age90",-1.9911278791715,4.07827166001886,-0.488228358765657,0.625472183208186
"age91",2.27259042043691,2.88952232522768,0.786493463156695,0.431724828894482
"age93",-0.99112787917152,4.07827166001887,-0.243026448896966,0.808024060561931
"sexMale",0.472563400783066,0.225685105893531,2.09390601525119,0.0364657436346857
"siteUrban",-2.68117111030951,0.228017997700299,-11.75859422217,2.23008721676282e-30
