"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",5.43103448275855,0.51795879153985,10.4854567032495,1.51052626418222e-24
"age 1",-0.493534482758646,1.11391249993749,-0.443063959499819,0.657809538485298
"age 2",0.283251231526995,1.5783483742134,0.179460527317461,0.857610277435392
"age 3",0.435632183908071,1.1426441735594,0.381249205998269,0.703094454393691
"age 4",1.2962382445141,1.29724920055014,0.999220692496391,0.317914979444375
"age 5",1.56896551724098,2.83697713984479,0.553041297092304,0.580351306137848
"age 6",4.19396551724128,1.48772336316288,2.81904930788005,0.00490593765456383
"age 7",7.31896551724144,2.03920580149922,3.58912548790345,0.000346905560921178
"age 8",4.56896551724123,1.83857132106452,2.48506297519958,0.0131056393577366
"age 9",2.23563218390797,1.69164632941502,1.32157185874725,0.186594846893357
"age10",5.42610837438431,1.57834837421332,3.43783949287418,0.000609065194738455
"age11",4.23563218390796,1.69164632941495,2.50385208199685,0.0124337662426069
"age12",4.76896551724151,1.83857132106456,2.59384309034049,0.00962135818133358
"age13",6.23563218390807,1.69164632941497,3.68613230524643,0.000239173459091692
"age14",8.23563218390805,1.4132251433488,5.82754433903769,7.44894018441477e-09
"age15",11.2356321839081,1.69164632941498,6.64183286337025,4.93265852797917e-11
"age16",4.71182266009864,1.57834837421332,2.98528685876913,0.00289791074467384
"age17",7.06896551724128,2.03920580149917,3.46652873978898,0.0005482775830861
"age18",6.40229885057468,1.69164632941498,3.78465565718383,0.000162513098912744
"age19",3.73563218390797,1.69164632941498,2.20828202618443,0.0274372552178816
"age20",4.3689655172414,1.83857132106456,2.37628286005881,0.0176642498265497
"age21",1.31896551724128,2.03920580149919,0.6468035331557,0.517898606620424
"age22",4.96896551724129,1.83857132106455,2.7026232054812,0.00698898565325888
"age23",6.56896551724132,2.8369771398449,2.31548059551881,0.0207761099034482
"age24",0.235632183907934,2.33560555272345,0.100886977098155,0.919659187970014
"age25",6.81896551724128,2.03920580149918,3.34393199167446,0.000854795752205908
"age26",6.56896551724126,3.97851696920741,1.65110908614521,0.0990113969963764
"age27",12.4130831642998,6.29739930419185,1.97114436685586,0.0489661971077606
"age28",1.56896551724136,1.83857132106456,0.853361248087402,0.393651069831088
"age29",3.06896551724127,2.83697713984486,1.08177308662032,0.279598478353343
"age30",3.3189655172414,2.03920580149922,1.62757751807165,0.103910563118187
"age31",9.56896551724124,2.83697713984484,3.37294417457469,0.000770472714454355
"age32",2.06896551724136,2.03920580149919,1.01459377749921,0.310530162267655
"age33",0.568965517241144,3.97851696920739,0.143009448406222,0.886309796287332
"age34",-0.231034482758696,1.83857132106455,-0.125659788179946,0.90002497264185
"age35",-0.431034482758531,3.97851696920738,-0.108340491216858,0.913746030917408
"age36",3.06896551724131,2.83697713984485,1.08177308662034,0.279598478353336
"age37",1.06896551724149,2.03920580149918,0.524206785041317,0.60024390281874
"age38",7.76896551724139,1.83857132106456,4.22554481745263,2.58795194262685e-05
"age39",4.96896551724135,1.83857132106455,2.70262320548123,0.00698898565325834
"age40",14.5689655172412,3.97851696920739,3.66190860313049,0.000262656913783034
"age41",-1.43103448275865,3.97851696920744,-0.359690430840044,0.719150025435193
"age42",7.90229885057452,2.33560555272353,3.38340471975661,0.000742015437563414
"age43",-1.76436781609194,2.33560555272351,-0.755421999247495,0.45016300780151
