"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.72200843151824,0.0420397351550536,40.9614481434534,0
"age 1",0.0263460523595759,0.0924942160488335,0.284839998488837,0.775766726623007
"age 2",0.26907535147588,0.108015934747779,2.49107089712441,0.0127358703405089
"age 3",-0.0593660477543797,0.0878463312890591,-0.675794274880248,0.499171270117298
"age 4",0.0247484235953724,0.100897382448737,0.245283108389322,0.806237229885089
"age 5",0.640469989514216,0.131842419570107,4.85784462696127,1.18670470942007e-06
"age 6",0.504984181169737,0.0970207251835528,5.2049103963546,1.94090234857423e-07
"age 7",0.62713149706898,0.096090757612188,6.52644970913868,6.73469148207084e-11
"age 8",0.436154340930589,0.115869566716766,3.76418375669544,0.000167093981394005
"age 9",0.429566559804436,0.110564235583588,3.88522163190536,0.00010223657730028
"age10",0.52203563368901,0.104297419797424,5.00525933146723,5.57868739954563e-07
"age11",0.681027662551571,0.109304055277756,6.23058001664247,4.64711394455174e-10
"age12",0.61368699639124,0.110059336789072,5.57596487763114,2.46161592918097e-08
"age13",0.770442282722641,0.108229262965423,7.11861341020851,1.09018213254128e-12
"age14",0.666567018897969,0.0942632945094116,7.07133166061171,1.53453881850813e-12
"age15",0.817310377506371,0.0932986213600908,8.76015492610464,1.94982203948368e-18
"age16",0.603097664439022,0.100986816415376,5.97204353841972,2.34299978395328e-09
"age17",0.656850927196287,0.109435718447916,6.002162150641,1.94707105246845e-09
"age18",0.844030636318828,0.0983506401593673,8.58185198338477,9.33577215804162e-18
"age19",0.749539026670919,0.116269660191678,6.44655729994613,1.14419370138081e-10
"age20",0.553906925414825,0.121566965142397,4.55639346401392,5.20394144577645e-06
"age21",0.395666204579067,0.139283139760909,2.8407329505801,0.00450099862402273
"age22",0.561924910132848,0.129535186934796,4.33800979818482,1.43778746686631e-05
"age23",0.502699629330101,0.159715201377377,3.14747516200613,0.00164687096974883
"age24",0.335441408097349,0.185777970403181,1.80560379343882,0.0709802497153692
"age25",0.479646374247851,0.132085453276634,3.6313338248028,0.000281960185872381
"age26",0.544682028498465,0.164790024937114,3.30530946097207,0.000948715860212037
"age27",0.660556552885717,0.250456161321679,2.63741386676176,0.00835408382372114
"age28",0.408554502261286,0.124479540294393,3.28210163128059,0.00103036461139242
"age29",0.504466017801428,0.171061371400072,2.94903527121621,0.00318767593351723
"age30",0.502323105184834,0.150658870089422,3.33417544474272,0.000855526767511614
"age31",0.489674947057889,0.139992813504659,3.49785774568773,0.000469011224195286
"age32",0.589443703772098,0.136532927907565,4.31722744692886,1.58001324513357e-05
"age33",0.364448867716882,0.147401115716927,2.47249734809864,0.0134172709097694
"age34",0.425953073745145,0.12300074202257,3.46301222855212,0.000534164118314517
"age35",0.504887730513264,0.192561264414313,2.62195894926693,0.00874259608503428
"age36",0.279523560844706,0.15875271686634,1.76074820237595,0.0782810303269828
"age37",0.271645217315305,0.179872288438458,1.51021160443092,0.130989438568206
"age38",0.617176111872063,0.126758944455835,4.86889595461327,1.12223472526656e-06
"age39",0.557982454620933,0.177936491365411,3.13585173192528,0.00171355811080271
"age40",0.634150642711322,0.129088956183416,4.91250887341817,8.9918312437006e-07
"age41",0.410522474832127,0.174640952983659,2.35066556737434,0.0187398684618808
"age42",0.572231391151674,0.138354201318388,4.13598854027442,3.53429829178651e-05
"age43",0.18803304646362,0.185742129805383,1.01233385587124,0.311378452404058
"age44",0.398766311636397,0.13450486494185,2.96469805615429,0.00302980144340485
"age45",0.744522338574835,0.12642142303806,5.88921023575801,3.8804554409768e-09
"age46",0.444985151446053,0.147421659023808,3.0184516603099,0.00254069931389301
"age47",0.193829700939343,0.200835855860974,0.965115019469027,0.334487204899698
"age48",0.101048977448918,0.180998757555134,0.55828547562343,0.576649461360889
"age49",0.288884979999093,0.191787096806426,1.5062795402272,0.131995428080072
"age50",0.44975174792549,0.232826322889037,1.93170489635675,0.0533959400946638
"age51",0.484490522986722,0.185625371823157,2.61004472733549,0.00905303851858634
"age52",0.760448194731509,0.199159898089491,3.81827969398641,0.000134385517204249
"age53",0.474053943009035,0.140712193878767,3.36896135254251,0.000754520075611437
"age54",0.608918838939658,0.139114237003949,4.37711374517601,1.20261222011277e-05
"age55",0.583590949367003,0.15435239539118,3.78089985508803,0.00015626252672747
"age56",0.403513588237342,0.153158727165602,2.63461048354786,0.00842338852607409
"age57",0.7439708405903,0.156183176700483,4.76345056047257,1.90310254408261e-06
"age58",0.481274699716314,0.378447595255362,1.27170764393831,0.203477013672189
"age59",0.273534546611433,0.222611512642887,1.22875292191306,0.219164457450347
"age60",0.150333052019808,0.173516183727173,0.866392107010508,0.386275170903203
"age61",0.235980507815287,0.154160779744815,1.53074282710498,0.125832964681725
"age62",-0.359910725149909,0.305986409784512,-1.17623107968544,0.239502548065038
