"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.69212962827921,0.0673047738076403,25.1413017613785,1.75930985858301e-139
"age 1",-0.0952704980519682,0.148664822705866,-0.640840895095011,0.521626060002782
"age 2",0.050839676779412,0.20189057623141,0.251817978473342,0.801181760223525
"age 3",0.0771569850967864,0.145375981388538,0.53074094055863,0.595598311341935
"age 4",0.21404019212659,0.15871272285462,1.34860134888273,0.17746504719191
"age 5",0.253780520776097,0.339504133530075,0.747503478491863,0.454759703877494
"age 6",0.572234251894639,0.165357442329776,3.4605896404313,0.00053899374994342
"age 7",0.853401643325223,0.209260727451718,4.07817393028095,4.53908052749095e-05
"age 8",0.610455464714839,0.200628396914678,3.0427171532176,0.00234452589047262
"age 9",0.34475229898183,0.19842021210416,1.73748579001041,0.0823014600833158
"age10",0.692693562951808,0.170052049408097,4.07342084592852,4.63276012085489e-05
"age11",0.576553913039153,0.186742682445717,3.08742439322487,0.00201899124204038
"age12",0.630258092011013,0.199648683406147,3.15683570388928,0.00159491182168785
"age13",0.764606144542093,0.178653755690697,4.2798212754388,1.87043454781208e-05
"age14",0.922830149756987,0.146268106290117,6.30916864354959,2.80538300811315e-10
"age15",1.12128108848084,0.16622710409761,6.7454768857816,1.52525216981174e-11
"age16",0.624640099706791,0.172755063061275,3.61575567533574,0.000299472732177206
"age17",0.833599016029045,0.210195644380103,3.96582440367614,7.31426969542684e-05
"age18",0.77879077953405,0.178089744732623,4.37302429010327,1.22537084127957e-05
"age19",0.523444087725199,0.189243938657213,2.76597544650209,0.00567528077531128
"age20",0.590252757397312,0.201643043306381,2.92721607311029,0.00342011179414087
"age21",0.21741287660523,0.247425233057188,0.878701310771235,0.379563247770928
"age22",0.649676177868116,0.19870209581009,3.26959902068192,0.00107700034658577
"age23",0.792777021508787,0.29240580008287,2.71122194321764,0.00670357389933618
"age24",0.0424714271089007,0.299259915638265,0.141921536729425,0.887141982655021
"age25",0.813396308711526,0.21116432506859,3.85195893504889,0.000117176676307542
"age26",0.792777021508789,0.408010258776552,1.94303207935503,0.0520122824636781
"age27",0.914298059851873,0.766705713754387,1.19250195146552,0.233064486021791
"age28",0.253780520776101,0.220959684603282,1.14853766754667,0.250746672355584
"age29",0.447936535217062,0.320402894286556,1.3980414759189,0.162100612579254
"age30",0.476924072090313,0.229681600237798,2.07645745935476,0.0378516617045062
"age31",1.015920572823,0.277790962035792,3.65714048210145,0.000255044615485145
"age32",0.322773392263053,0.239823981806866,1.34587621234221,0.17834244153909
"age33",0.0996298409488461,0.499805666834862,0.1993371575392,0.841999014850166
