"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.72540245454136,0.0319441095969166,54.0131647528501,0
"age 1",0.0232322459471745,0.0713582578753312,0.3255719329326,0.744748250415833
"age 2",0.258823781749581,0.0794034981570046,3.25960175252995,0.00111568752247084
"age 3",-0.0518581055193878,0.0682249940253527,-0.760104214888125,0.447192293433525
"age 4",0.026842969344336,0.0778877967932557,0.344636392984483,0.730367742458205
"age 5",0.680144833978149,0.0881814980694691,7.71301065266926,1.22883826379901e-14
"age 6",0.503017168052359,0.0680959923226745,7.38688358734535,1.50310086417541e-13
"age 7",0.618365719546575,0.0668664912007024,9.24776683272532,2.29231745253282e-20
"age 8",0.443625133444316,0.0826106080561953,5.37007466574442,7.8704049382584e-08
"age 9",0.432401965373785,0.0786085257179745,5.50070061007279,3.78285072748116e-08
"age10",0.522388662667574,0.0726571817578116,7.1897732616282,6.48990068339749e-13
"age11",0.666404897627088,0.0741832816901491,8.98322212827611,2.62950953563903e-19
"age12",0.620097197023097,0.0762432570595129,8.13314148606046,4.18305920944545e-16
"age13",0.748552585645101,0.0727774721083324,10.2854985747629,8.19170093683462e-25
"age14",0.679319001776856,0.0646171969296777,10.5129754005912,7.52802773092654e-26
"age15",0.823934480905392,0.0613507647310309,13.4298974840431,4.03970348559074e-41
"age16",0.609148249194088,0.0689681460338452,8.83231294770714,1.02533096445148e-18
"age17",0.67772231921728,0.0732153982167456,9.2565544369637,2.11135553304873e-20
"age18",0.83795594264642,0.0654011735483826,12.8125520871046,1.394707625746e-37
"age19",0.717903640406977,0.0787133357829622,9.12048299396771,7.47902623896942e-20
"age20",0.572304103349501,0.0826364560468562,6.92556446303791,4.34240537892997e-12
"age21",0.413884453805132,0.0996092193352824,4.15508179430667,3.2517119561865e-05
"age22",0.556530927794854,0.0896239874350385,6.20962025594142,5.31127917011925e-10
"age23",0.512372230290385,0.108357830136005,4.72852058450491,2.2616170026151e-06
"age24",0.321085749231545,0.133408385777747,2.40678835411786,0.0160934935062855
"age25",0.498613499611499,0.0949253685383244,5.25268963701935,1.49894001389012e-07
"age26",0.577804515860092,0.114281588489442,5.05597203799343,4.2820407573178e-07
"age27",0.713270682179382,0.167085598815983,4.26889383186718,1.96444736925924e-05
"age28",0.409106982601512,0.0895825189089036,4.56681713781159,4.95185628638539e-06
"age29",0.500845213738491,0.119041956612442,4.20729991333276,2.58440053394189e-05
"age30",0.485347062127709,0.10659462936549,4.55320371220167,5.28350654934281e-06
"age31",0.511392924505878,0.097293731625622,5.25617545921329,1.47081973432215e-07
"age32",0.581713928425278,0.0936360502309717,6.21249964079397,5.21482997485396e-10
"age33",0.357587462968133,0.108839192507667,3.28546596799627,0.00101813840943919
"age34",0.435321825990296,0.0871130063294962,4.99720815906335,5.81662712462546e-07
"age35",0.519147260888046,0.132341361874542,3.92278916836439,8.75297418060715e-05
"age36",0.267187581976733,0.117545674152623,2.27305329526471,0.0230229684622824
"age37",0.286214740424551,0.130272761477552,2.19704209213275,0.0280174401825213
"age38",0.633346407921365,0.0875300162928725,7.23576248177778,4.62920877913213e-13
"age39",0.55710008461246,0.120885021679334,4.60851209581822,4.0556078460251e-06
"age40",0.640749933104054,0.0885089566328135,7.23937957784608,4.50741891021204e-13
"age41",0.438083373132433,0.122240642119128,3.58377840248502,0.000338659432213138
"age42",0.569149586144701,0.0961302851831082,5.92060644635132,3.2075660328101e-09
"age43",0.185942160339976,0.139111524408636,1.33664095142669,0.181339864963487
"age44",0.400488014243044,0.0964836148361377,4.15083965213378,3.3125778682358e-05
"age45",0.782836773676271,0.0835360916103493,9.37124012609761,7.16852411511465e-21
"age46",0.448108596857802,0.105062908615522,4.26514554720406,1.99771929539053e-05
"age47",0.202094796376373,0.151996327992794,1.32960314926788,0.183649059963283
"age48",0.101364924441523,0.137941225282863,0.734841409692162,0.462436084450323
"age49",0.313350857420569,0.139109104389653,2.25255463181514,0.0242872444047206
"age50",0.428326063569954,0.167036792036575,2.56426179135532,0.0103395525135703
"age51",0.496482802039714,0.131309898801601,3.78100056866133,0.000156199317375797
"age52",0.784601420013488,0.12949254347765,6.05904709987341,1.36930297110015e-09
"age53",0.476198962675575,0.099197178350752,4.8005293153781,1.58246807389457e-06
"age54",0.619172208266684,0.0965984227107921,6.40975484786575,1.4575381626758e-10
"age55",0.577359340380941,0.106580456355401,5.41712205149219,6.05659983838852e-08
"age56",0.421236928717824,0.111991586069286,3.76132657374115,0.000169014588512857
"age57",0.746335137860488,0.103240966115059,7.22905999376952,4.86348562973618e-13
"age58",0.483161891876193,0.279134709797588,1.73092730827547,0.0834647303115321
"age59",0.296332957297291,0.162781790756971,1.82043062629596,0.0686934519935433
"age60",0.140540660120824,0.133382106336473,1.05366952120468,0.292034247801462
"age61",0.228580201085032,0.114793486645783,1.99122970966427,0.0464556390284746
"age62",-0.372218361300048,0.259899232548564,-1.43216414165631,0.152096851325083
"age63",0.334538508578684,0.137886098474742,2.42619460757289,0.0152580859630126
"age64",0.496885209671757,0.151917064215016,3.27076627131558,0.00107256516612397
"age65",0.905652137066213,0.173951484419607,5.20634900063049,1.92592274280433e-07
"age66",0.645279842923204,0.122176460552931,5.28153983183731,1.28102623713482e-07
"age67",0.491799983045288,0.114915048962558,4.27968301354098,1.87159683448549e-05
"age68",0.706092137582666,0.169255074070151,4.17176348456185,3.02251282730836e-05
"age69",-0.045873513091594,0.164894630257124,-0.278198950566567,0.780859640403488
"age70",-0.331326675210541,0.379068313850903,-0.87405531695498,0.382088129615977
"age71",0.112138306731712,0.20619518167122,0.543845427535341,0.586547845200483
"age72",0.450504058551639,0.194808387265823,2.31254960258415,0.0207474151400456
"age73",-0.405434647364267,0.278852505957851,-1.45393940775827,0.1459631059025
"age75",0.0345479536757519,0.290226545624421,0.119037883324636,0.905245342592706
"age76",-0.253134118776031,0.334677793650032,-0.756351701782552,0.449438357445973
"age77",-0.193258745953276,0.220116224414539,-0.877985012087603,0.379951852429026
"age78",0.0253482687281923,0.317546285921579,0.079825429715315,0.936376098869954
"age79",-0.14587551746963,0.290143028000839,-0.502771059069557,0.615125243402867
"age80",0.65997289695546,0.355084394745503,1.85863672614641,0.063078647704207
"age81",0.158119391421818,0.179183364951764,0.882444592244282,0.377536430368558
"age82",-0.036685364521912,0.21537107162627,-0.170335617708081,0.864746201655428
"age83",-1.09489269469134,0.70780530331591,-1.54688399417469,0.121891221292215
"age84",-0.00563226678629077,0.251850768821124,-0.0223635084087873,0.982157989138071
"age85",0.00371959397678234,0.409456974624681,0.00908421203520057,0.992751947158591
"age90",-0.339108093421457,0.501019386988103,-0.676836270668125,0.498509842451597
"age91",0.382854647943967,0.244380121662692,1.56663580220492,0.117199844356076
"age93",-0.115964542107249,0.448353015087373,-0.258645616746104,0.795908683436423
"sexMale",0.0626374207099299,0.0205790115145291,3.04375264408141,0.00233647163525618
"siteUrban",-0.368571230526904,0.0210188859618424,-17.53524098261,7.71219707320127e-69
