"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.69212962827921,0.0563436157173422,30.0323223267758,3.71539505742865e-198
"age 1",-0.0952704980519771,0.125828576488237,-0.757145162974036,0.448962899150271
"age 2",0.0508396767794065,0.167852920637758,0.302882288769482,0.761979569279578
"age 3",0.0771569850972434,0.120574576344847,0.639910895283365,0.522230530199302
"age 4",0.214040192126582,0.12918249288997,1.65688234789592,0.0975432638633844
"age 5",0.253780520776098,0.273135816876285,0.929136733799533,0.352818229555303
"age 6",0.572234251894632,0.127128344671973,4.50123261945363,6.75605159924962e-06
"age 7",0.853401643325217,0.150938550812661,5.65396738427963,1.5678597497776e-08
"age 8",0.61045546471483,0.152232069657162,4.01003196034595,6.07105296977414e-05
"age 9",0.344752298981821,0.157840848473958,2.18417667108968,0.0289492684787915
"age10",0.692693562951801,0.12779866105948,5.42019421181109,5.9534323702654e-08
"age11",0.576553913039147,0.142884507006352,4.03510447086832,5.45780079621654e-05
"age12",0.630258092011008,0.150938550848572,4.17559389876024,2.97209624259513e-05
"age13",0.764606144542088,0.132137493989439,5.78644351014557,7.18922478386606e-09
"age14",0.922830149756981,0.10632348909051,8.67945698218577,3.97662839749597e-18
"age15",1.12128108848083,0.114780673600148,9.76890144752891,1.5310311947335e-22
"age16",0.624640099706785,0.131373932248204,4.75467308481455,1.987677892979e-06
"age17",0.833599016029037,0.152232069657163,5.47584367673879,4.35431966218242e-08
"age18",0.778790779534047,0.131373932247769,5.92804650214214,3.06559693857479e-09
"age19",0.523444087725195,0.146138362350144,3.58183901411892,0.000341184023818886
"age20",0.59025275739731,0.153566813789303,3.84362182709052,0.000121231774444885
"age21",0.217412876605221,0.200528402117803,1.08419991536909,0.27827616919381
"age22",0.64967617786811,0.149684241865577,4.34031110937881,1.42281129539413e-05
"age23",0.792777021508779,0.211757572943075,3.74379537170978,0.000181261291801643
"age24",0.0424714271088896,0.248994241702461,0.170571924950945,0.864560375008033
"age25",0.813396308711522,0.153566813789039,5.29669326752403,1.17918524293626e-07
"age26",0.792777021508776,0.294122315313605,2.69539909157687,0.0070304368761206
"age27",0.914298059851911,0.622489670893069,1.46877627469737,0.141893481196017
"age28",0.253780520776095,0.178174160875032,1.4243396434688,0.154348176863102
"age29",0.447936535217053,0.248994241788577,1.79898351062029,0.072021289118192
"age30",0.476924072090307,0.178174160873756,2.67672972192769,0.00743445808608748
"age31",1.01592057282299,0.191070501034139,5.31699329474977,1.05495954433638e-07
"age32",0.32277339226305,0.191070501034139,1.68928950579022,0.0911639634702144
"age33",0.0996298409488367,0.412118028844614,0.241750746086387,0.808973305854894
"age34",-0.043471002691835,0.204049360415756,-0.213041602302804,0.83129451350039
"age35",-0.0826917158451134,0.450748935697141,-0.183454045692244,0.854441773008773
"age36",0.447936535217054,0.248994241786264,1.79898351063701,0.0720212891155479
"age37",0.179672548622371,0.204049360433932,0.880534730617529,0.378569699194711
"age38",0.888087201313096,0.135373993391616,6.56024971313358,5.3717746009382e-11
"age39",0.649676177868114,0.149684241865578,4.34031110937881,1.42281129539413e-05
"age40",1.30360264527477,0.230596190411079,5.65318378829617,1.57502734360858e-08
"age41",-0.305835267159322,0.503164588412285,-0.607823511834114,0.543304533602243
"age42",0.898137537166608,0.167852920832797,5.35074118883679,8.75947216899369e-08
"age43",-0.39284664414896,0.306730653735804,-1.28075443182581,0.200279934207875
"age44",0.0996298409488368,0.24234305848618,0.411110768227423,0.680991314390255
