,term,estimate,SE,test_statistic,p_value,log_pvalue,
1,(Intercept),1.955637648,0.059353897,32.94876562,4.41E-238,-5.99,
2,participant_age6-11mo,0.270572366,0.074200766,3.646490188,0.000265847,-5.99,1.310714444
3,participant_age1-4y,0.294274613,0.071074001,4.140397452,3.47E-05,-5.99,1.342152426
4,participant_age5-9y,0.701262321,0.073357091,9.559571057,1.18E-21,-5.99,2.016296316
5,participant_age10-14y,0.725535418,0.072899622,9.952526435,2.46E-23,-5.99,2.065836891
6,participant_age15-19y,0.673433588,0.073221344,9.197230621,3.67E-20,-5.99,1.960958898
7,participant_age20-29y,0.471711244,0.074023036,6.372492558,1.86E-10,-5.99,1.602734517
8,participant_age30-39y,0.522015336,0.073785347,7.074783192,1.50E-12,-5.99,1.685420918
9,participant_age40-59y,0.531970865,0.067053346,7.933546923,2.13E-15,-5.99,1.702283976
e,participant_age60+y,0.338450634,0.075169008,4.502528975,6.71E-06,-5.99,1.402772499
11,sexMale,0.093113915,0.029962945,3.107635623,0.001885904,-5.99,1.09758676
12,siteUrban,-0.222414635,0.030139943,-7.379397986,1.59E-13,-5.99,0.800583346
