"","field_name","form_name","section_header","field_type","field_label","select_choices_or_calculations","field_note","text_validation_type_or_show_slider_number","text_validation_min","text_validation_max","identifier","branching_logic","required_field","custom_alignment","question_number","matrix_group_name","matrix_ranking","field_annotation"
"1","rec_id","site_do_estudo",NA,"text","ID de registro",NA,NA,"integer",NA,NA,NA,NA,"y",NA,NA,NA,NA,NA
"2","individual_id","site_do_estudo",NA,"text","Perm_ID (ID de participante)",NA,NA,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA
"3","interview_date","site_do_estudo",NA,"text","Data do questionário",NA,NA,"date_dmy","2020-08-01","2021-12-31",NA,NA,"y",NA,NA,NA,NA,NA
"4","enumerator_id100","site_do_estudo",NA,"text","Código do Inquiridor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","study_site","site_do_estudo",NA,"radio","Local do estudo","1, Rural - Manhiça | 2, Urbano - Polana Caniço",NA,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA
"6","aim","site_do_estudo",NA,"radio","Esta informação é para o objetivo 1 ou objetivo 2?","0, Objetivo 1 | 1, Objetivo 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","hh","site_do_estudo",NA,"radio","Você é o chefe do agregado?","0, Não | 1, Sim",NA,NA,NA,NA,NA,"[aim] = ""1""",NA,NA,NA,NA,NA,NA
"8","hh_descriptive","informaes_de_agregado_familiar_e_casa",NA,"descriptive","O instrumento a seguir colherá dados do agregado familiar. Esta secção deverá ser respondida pelo chefe do agregado o seu representante.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","hh_id","informaes_de_agregado_familiar_e_casa","INFORMAÇÕES DO AGREGADO FAMILIAR E DA CASA","text","HDSS ID",NA,"Insira o ID do agregado",NA,NA,NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
"10","hoh_id","informaes_de_agregado_familiar_e_casa",NA,"text","Perm_Id de Chefe de Agregado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","date_hohconsent","informaes_de_agregado_familiar_e_casa","Consentimento informado","text","Data da assinatura do consentimento informado do chefe do agregado",NA,NA,"date_dmy","2020-07-01","2021-12-31",NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
"12","hh_head_gender","informaes_de_agregado_familiar_e_casa","Características do chefe do agregado","radio","Qual é o seu sexo?","0, Feminino | 1, Masculino | 2, Mulher Transsexual | 3, Homem Transsexual | 4, Outro","Observa o sexo do chefe do agregado",NA,NA,NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
